name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Wright Beauty Academy,Battle Creek,MI,1,3,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.8,0.1,0.0,0.0,0.1,,,,,,,,0.64,,,,,,,,,,,,,,,6400.0,3887.0,2049.0,,,,,1.0,0.0625,,,,,,,,,,,0.46,0.0,
Academy College,Bloomington,MN,2,3,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985,0.3134,0.0,,,,,,,,,0.0,0.0795,0.5894,0.2119,0.0662,0.0132,0.0397,,,,,,,,0.0596,,,,,,,,,,,,,19807.0,19807.0,,9286.0,2067.0,,,,0.2857,,0.4,,,,,,,,,0.0,,0.649,0.076,
Alexandria Technical & Community College,Alexandria,MN,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.021,0.0013,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.059000000000000004,0.0564,0.1062,0.0,,,,,,,,,0.0,0.0516,0.9248,0.0067,0.0056,0.0062,0.0051,,,,,,,,0.147,,,,,,,,,,,,,4907.0,4907.0,,3418.0,5489.0,6474.0,0.529,,,0.5693,0.6670687575391999,,,,,,,,,,,0.2197,0.042,
American Indian OIC Inc,Minneapolis,MN,1,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571,0.0,0.0,0.0,0.2,0.0,,,,,,,,,0.0,0.0,0.0196,0.1373,0.0,0.7843,0.0588,,,,,,,,0.1961,,,,,,,,,,,,,4415.0,4415.0,,5219.0,12929.0,,,,,1.0,0.80392156862745,,,,,,,,,,,0.6471,,
Anoka Technical College,Anoka,MN,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1659,0.0,0.107,0.0,,,,,,,,,0.0,0.0633,0.7784,0.1046,0.0305,0.0107,0.0124,,,,,,,,0.4715,,,,,,,,,,,,,4586.0,4586.0,,3929.0,5251.0,6220.0,0.4907,,,0.35600000000000004,0.33688415446070996,,,,,,,,,,,0.3821,0.036000000000000004,
Anoka-Ramsey Community College,Coon Rapids,MN,2,1,,,,,,,,,,,,,,,,0.0,0.0037,0.0,0.5529999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0073,0.1596,0.0,,,,,,,,,0.0032,0.0362,0.8499,0.0564,0.0316,0.0097,0.013000000000000001,,,,,,,,0.5288,,,,,,,,,,,,,4015.0,7541.0,,3145.0,3449.0,6302.0,0.3618,,,0.1688,0.48858075040783006,,,,,,,,,,,0.2701,0.027000000000000003,
Augsburg College,Minneapolis,MN,3,2,,,,,,,,,,,,0.6128,25.0,1036.0,1036.0,0.1429,0.0,0.0,0.0074,0.0223,0.0204,0.0315,0.0056,0.0186,0.0445,0.0686,0.0,0.0668,0.2783,0.0371,,,,,,,,,0.0082,0.1129,0.7440000000000001,0.0595,0.0409,0.0125,0.0221,,,,,,,,0.1709,,,,,,,,,,,,,24046.0,24046.0,,14464.0,8923.0,5894.0,0.4637,,0.6012,,0.56475300400534,,,,,,,,1.0,0.6075,,0.3855,0.013000000000000001,
Riverland Community College,Austin,MN,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0134,0.2507,0.0,0.0,0.0,0.0,0.0,0.0179,0.0,0.0776,0.0075,0.1776,0.0,,,,,,,,,0.0148,0.0148,0.8858,0.0263,0.0123,0.0054,0.0407,,,,,,,,0.5416,,,,,,,,,,,,,4896.0,4896.0,,3363.0,5273.0,6301.0,0.3883,,,0.3942,0.55934195064629,,,,,,,,,,,0.451,0.07200000000000001,
Northwest Technical College,Bemidji,MN,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0944,0.0,0.1888,0.0,,,,,,,,,0.0,0.0167,0.8532,0.0133,0.01,0.1023,0.0044,,,,,,,,0.3737,,,,,,,,,,,,,4660.0,4660.0,,2956.0,4636.0,6092.0,0.4308,,,0.3822,0.42385786802029995,,,,,,,,,,,0.3891,0.059000000000000004,
Bemidji State University,Bemidji,MN,3,1,,,,,,,,,,,,0.8479,28.0,,,0.2063,0.0,0.0,0.0507,0.0374,0.0012,0.006,0.0,0.0193,0.0314,0.040999999999999995,0.0,0.0615,0.1194,0.0048,,,,,,,,,0.0514,0.0602,0.8320000000000001,0.0071,0.0065,0.039,0.0038,,,,,,,,0.1879,,,,,,,,,,,,,6738.0,6738.0,,3610.0,3794.0,6573.0,0.5993,,0.6051,,0.66097122302158,,,,,,,,0.7143,0.6,,0.2123,0.026000000000000002,
