name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.4751,19.0,850.0,850.0,0.1868,0.0526,0.0,0.0,0.0679,0.0238,0.0,0.0,0.0102,0.0441,0.0577,0.0,0.0068,0.2088,0.0,,,,,,,,,0.027999999999999997,0.0002,0.0248,0.9393,0.0018,0.0016,0.0043,,,,,,,,0.0706,,,,,,,,,,,,,4420.0,8320.0,,4000.0,3161.0,5221.0,0.758,,0.3276,,,,,,,,,,0.3,,,,0.078,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.8592,25.0,1037.0,1037.0,0.0727,0.0464,0.0,0.0025,0.0645,0.0038,0.0169,0.0,0.0132,0.0219,0.0489,0.0,0.0445,0.2143,0.0464,,,,,,,,,0.0301,0.0209,0.5751,0.3274,0.0319,0.0036,0.011000000000000001,,,,,,,,0.2763,,,,,,,,,,,,,4662.0,10422.0,,4198.0,13992.0,7398.0,0.9,,0.3773,,,,,,,,,,0.5556,0.3333,,,0.028999999999999998,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.5804,0.0,0.0,0.0,0.4196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0745,0.6418,0.2521,0.0,0.0,0.0315,,,,,,,,0.0258,,,,,,,,,,,,,10040.0,10040.0,,7702.0,3719.0,3043.0,0.8108,,,,,,,,,,,,,,,,0.053,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.8944,27.0,1133.0,1133.0,0.0185,0.2025,0.0,0.0,0.0593,0.0086,0.0111,0.0,0.0136,0.0,0.0235,0.0,0.0296,0.2963,0.0222,,,,,,,,,0.0318,0.0023,0.7502,0.1473,0.0351,0.0148,0.0183,,,,,,,,0.2347,,,,,,,,,,,,,4516.0,9518.0,,4389.0,5837.0,6721.0,0.6173,,0.4456,,,,,,,,,,0.75,,,,0.032,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.5042,18.0,783.0,783.0,0.3,0.0,0.0,0.0,0.0593,0.0102,0.0,0.0,0.0119,0.0729,0.022000000000000002,0.0,0.0339,0.1356,0.0068,,,,,,,,,0.0028,0.0102,0.0249,0.9585,0.0009,0.0006,0.0022,,,,,,,,0.1049,,,,,,,,,,,,,4008.0,8016.0,,3860.0,3830.0,5235.0,0.5783,,0.2262,,,,,,,,,,0.6667,,,,0.146,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.7709999999999999,26.0,1091.0,1091.0,0.0691,0.0585,0.0,0.0,0.0271,0.0023,0.004,0.0,0.0076,0.0116,0.0374,0.0,0.0433,0.2993,0.0241,,,,,,,,,0.0114,0.0,0.836,0.1256,0.0093,0.0065,0.0112,,,,,,,,0.0907,,,,,,,,,,,,,4630.0,12664.0,,4660.0,6586.0,7158.0,0.7874,,0.6088,,,,,,,,,,0.4783,,,,0.034,
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.3857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1143,0.0,,,,,,,,,0.0,0.002,0.7349,0.2493,0.003,0.0049,0.0059,,,,,,,,0.4392,,,,,,,,,,,,,2700.0,5400.0,,1101.0,3891.0,4899.0,0.1793,,,0.2615,,,,,,,,,,,,,0.096,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.4135,0.0,0.0,0.0473,0.0122,0.0149,0.0081,0.0,0.0041,0.0,0.0095,0.0,0.0108,0.2851,0.0081,,,,,,,,,0.0,0.039,0.8140000000000001,0.1072,0.0053,0.0287,0.0057,,,,,,,,0.529,,,,,,,,,,,,,,,,1849.0,3785.0,5917.0,0.4267,,,,,,,,,,,,,,,,0.033,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.9801,24.0,970.0,970.0,0.1934,0.0,0.0,0.0397,0.0413,0.0033,0.0,0.0,0.0083,0.0,0.0165,0.0,0.0215,0.3802,0.0083,,,,,,,,,0.0092,0.0228,0.6035,0.3302,0.0177,0.0048,0.0118,,,,,,,,0.3396,,,,,,,,,,,,,4460.0,12920.0,,3510.0,4612.0,5867.0,0.6221,,0.2864,,,,,,,,,,,0.0,,,0.08,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.8417,27.0,1122.0,1122.0,0.0837,0.134,0.0,0.0,0.0449,0.0038,0.002,0.0,0.0038,0.0094,0.057999999999999996,0.0,0.0434,0.2818,0.0158,,,,,,,,,0.0076,0.0117,0.8723,0.0747,0.0154,0.0053,0.0131,,,,,,,,0.0775,,,,,,,,,,,,,4828.0,14048.0,,6728.0,6966.0,7694.0,0.89,,0.6497,,,,,,,,,,0.625,,,,0.033,
Lawson State Community College-Bessemer Campus,Bessemer,AL,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0265,0.0186,0.1194,0.0,,,,,,,,,0.0,0.023,0.4747,0.4874,0.0,0.0057,0.0092,,,,,,,,0.4851,,,,,,,,,,,,,2304.0,4154.0,,1222.0,3974.0,4115.0,0.4356,,,0.3023,,,,,,,,,,,,,0.0,
Birmingham Southern College,Birmingham,AL,3,2,,,,,,,,,,,,0.8263,29.0,1203.0,1203.0,0.0593,0.0169,0.0,0.0,0.0763,0.0508,0.0169,0.0,0.0085,0.0,0.0847,0.0,0.0932,0.2076,0.0508,,,,,,,,,0.0015,0.0044,0.8997,0.0583,0.0265,0.0007,0.0088,,,,,,,,0.0155,,,,,,,,,,,,,19450.0,19450.0,,16291.0,17748.0,6261.0,0.5901,,0.7013,,,,,,,,,,1.0,,,,0.018000000000000002,
Shelton State Community College-C A Fredd Campus,Tuscaloosa,AL,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1186,0.0508,0.0,0.0,,,,,,,,,0.0,0.0203,0.4358,0.5203,0.0135,0.0034,0.0068,,,,,,,,0.3885,,,,,,,,,,,,,2720.0,4830.0,,5013.0,2745.0,4894.0,1.0,,,0.3415,,,,,,,,,,,,,0.0,
Chattahoochee Valley Community College,Phenix City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273,0.0,,,,,,,,,0.0006,0.0241,0.506,0.4355,0.0084,0.0012,0.0241,,,,,,,,0.3807,,,,,,,,,,,,,2700.0,4830.0,,1344.0,1880.0,4850.0,0.2154,,,0.1308,,,,,,,,,,,,,0.0,
Concordia College Alabama,Selma,AL,2,2,,,,,,,,,,,,,,,,0.4667,0.0,0.0,0.2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889,0.0,,,,,,,,,0.021,0.0,0.0442,0.9337,0.0011,0.0,0.0,,,,,,,,0.1845,,,,,,,,,,,,,6104.0,6104.0,,1873.0,2258.0,5045.0,1.0,,0.1354,,,,,,,,,,1.0,,,,0.0,
South University-Montgomery,Montgomery,AL,2,3,,,,,,,,,,,,1.0,,,,0.0,0.0,0.1754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2632,0.0,,,,,,,,,0.0028,0.0,0.2853,0.7034,0.0028,0.0,0.0056,,,,,,,,0.3616,,,,,,,,,,,,,11085.0,11085.0,,12277.0,2379.0,3214.0,0.3056,,0.3714,,,,,,,,,,,,,,0.038,
Enterprise State Community College,Enterprise,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0462,0.4136,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0,0.0633,0.0,,,,,,,,,0.0,0.0213,0.6921,0.2069,0.0284,0.0136,0.0378,,,,,,,,0.3452,,,,,,,,,,,,,2520.0,4560.0,,1604.0,3769.0,4682.0,0.3813,,,0.2148,,,,,,,,,,,,,0.11800000000000001,
James H Faulkner State Community College,Bay Minette,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0431,0.4978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496,0.1552,0.0,,,,,,,,,0.0,0.0051,0.8247,0.1439,0.0051,0.0119,0.0093,,,,,,,,0.3077,,,,,,,,,,,,,2232.0,3960.0,,2124.0,2406.0,4851.0,0.3464,,,0.2202,,,,,,,,,,,,,0.142,
Faulkner University,Montgomery,AL,3,2,,,,,,,,,,,,0.6175,22.0,963.0,963.0,0.0097,0.0,0.0389,0.0306,0.0,0.0014,0.0,0.0069,0.0,0.0,0.0,0.0,0.0042,0.725,0.0042,,,,,,,,,0.0018,0.018000000000000002,0.5172,0.4433,0.0048,0.0053,0.0097,,,,,,,,0.2977,,,,,,,,,,,,,9750.0,9750.0,,5753.0,3204.0,5536.0,0.8974,,0.2702,,,,,,,,,,,0.0,,,0.062,
Gadsden Business College,Rainbow City,AL,1,3,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,,,,,,,,,0.0,0.0,0.599,0.401,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,7130.0,7345.0,1592.0,,0.55,,,1.0,,,,,,,,,,,,,0.063,
Gadsden State Community College,Gadsden,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0215,0.2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0646,0.0,0.08900000000000001,0.0,,,,,,,,,0.033,0.0085,0.7506,0.1926,0.0023,0.0045,0.0085,,,,,,,,0.4565,,,,,,,,,,,,,2700.0,4830.0,,1968.0,3426.0,4661.0,0.38299999999999995,,,0.2433,,,,,,,,,,,,,0.0,
