name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Community College of the Air Force,Montgomery,AL,2,1,,,,,,,,,,,,,,,,0.1247,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0084,0.0046,0.0,0.0,0.0048,0.1994,0.0002,,,,,,,,,0.0,0.0,0.7966,0.1536,0.0163,0.0033,0.0302,,,,,,,,0.9752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,,,,,0.2003,0.0136,0.0,0.0,0.0594,0.0136,0.0,0.0,0.0068,0.0357,0.0323,0.0,0.0017,0.2241,0.0017,,,,,,,,,0.0423,0.0003,0.0345,0.9125,0.0052,0.0029,0.0023,,,,,,,,0.0852,,,,,,,,,,,,,,,,,,4285.0,,,,,,,,,,,,,,,,,0.171,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,,,,,0.1195,0.0553,0.0,0.0006,0.0739,0.0064,0.0051,0.0,0.0096,0.0225,0.0527,0.0,0.0199,0.1632,0.0488,,,,,,,,,0.023,0.025,0.6708,0.2468,0.0237,0.0027,0.008,,,,,,,,0.3455,,,,,,,,,,,,,,,,,,5988.0,,,,,,,,,,,,,,,,,0.077,
ALABAMA AVIATION AND TECHNICAL COLLEGE,OZARK,AL,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0407,0.0,0.6576,0.2441,0.0136,0.0136,0.0305,,,,,,,,0.1458,,,,,,,,,,,,,,,,,,4406.0,,,,,,,,,,,,,,,,,0.021,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.8,0.0833,0.1,0.0,0.0167,,,,,,,,0.8667,,,,,,,,,,,,,,,,,,2962.0,,,,,,,,,,,,,,,,,0.032,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,,,,,0.0169,0.3113,0.0,0.0,0.0406,0.0102,0.0068,0.0,0.0203,0.0,0.0186,0.0,0.0321,0.2166,0.0152,,,,,,,,,0.0327,0.0,0.7613,0.1336,0.0361,0.0197,0.0166,,,,,,,,0.3716,,,,,,,,,,,,,,,,,,5385.0,,,,,,,,,,,,,,,,,0.077,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,,,,,0.2476,0.0,0.0,0.0,0.0595,0.0214,0.0,0.0,0.0167,0.0238,0.0238,0.0,0.0167,0.2167,0.0095,,,,,,,,,0.0062,0.0006,0.055999999999999994,0.9348,0.0006,0.0002,0.0015,,,,,,,,0.0998,,,,,,,,,,,,,,,,,,4216.0,,,,,,,,,,,,,,,,,0.17,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,,,,,0.1066,0.0883,0.0,0.0,0.0343,0.0037,0.0026,0.0,0.0142,0.0149,0.0387,0.0,0.0246,0.266,0.0194,,,,,,,,,0.0295,0.004,0.8307,0.1179,0.0067,0.0047,0.0066,,,,,,,,0.1111,,,,,,,,,,,,,,,,,,5595.0,,,,,,,,,,,,,,,,,0.059000000000000004,
Central Alabama Community College,Alexander City,AL,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,0.0,0.0315,0.0,,,,,,,,,0.0045,0.0,0.7891,0.1948,0.0011,0.0078,0.0028,,,,,,,,0.3404,,,,,,,,,,,,,,,,,,4169.0,,,,,,,,,,,,,,,,,0.0,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.299,0.0,0.0,0.04,0.004,0.042,0.005,0.0,0.009000000000000001,0.0,0.016,0.0,0.004,0.387,0.006999999999999999,,,,,,,,,0.0,0.0044,0.8925,0.0801,0.0056,0.0119,0.0056,,,,,,,,0.5289,,,,,,,,,,,,,,,,,,5061.0,,,,,,,,,,,,,,,,,0.032,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,,,,,0.2346,0.0,0.0,0.0616,0.0577,0.0079,0.0,0.0,0.0144,0.0,0.0341,0.0,0.0341,0.2503,0.0144,,,,,,,,,0.0011,0.0037,0.6809,0.2841,0.0181,0.0026,0.0095,,,,,,,,0.3046,,,,,,,,,,,,,,,,,,4852.0,,,,,,,,,,,,,,,,,0.12300000000000001,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,,,,,0.1316,0.1762,0.0,0.0,0.0455,0.0078,0.0025,0.0,0.0075,0.0078,0.036000000000000004,0.0,0.024,0.2041,0.0098,,,,,,,,,0.0045,0.0004,0.9094,0.0605,0.0124,0.0046,0.0082,,,,,,,,0.0835,,,,,,,,,,,,,,,,,,5519.0,,,,,,,,,,,,,,,,,0.045,
Lawson State Community College-Bessemer Campus,Bessemer,AL,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0444,0.1056,0.0,,,,,,,,,0.0026,0.0039,0.6525,0.3357,0.0026,0.0007,0.002,,,,,,,,0.5826,,,,,,,,,,,,,,,,,,4527.0,,,,,,,,,,,,,,,,,0.0,
Birmingham Southern College,Birmingham,AL,3,2,,,,,,,,,,,,,,,,0.0893,0.0,0.0,0.0,0.0893,0.0298,0.0268,0.0,0.0268,0.0,0.0595,0.0,0.0833,0.3601,0.0446,,,,,,,,,0.0128,0.0,0.8155,0.1363,0.0312,0.0035,0.0007,,,,,,,,0.1015,,,,,,,,,,,,,,,,,,5000.0,,,,,,,,,,,,,,,,,0.034,
BEVILL STATE COMMUNITY COLLEGE-BREWER CAMPUS,FAYETTE,AL,3,1,,,,,,,,,,,,,,,,0.028999999999999998,0.0,0.0155,0.147,0.0019,0.0,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.7331,0.0039,,,,,,,,,0.0,0.0067,0.8397,0.1526,0.0,0.0,0.001,,,,,,,,0.2869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,
CHARLES ACADEMY OF BEAUTY CULTURE,MOBILE,AL,1,3,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.2813,0.6875,0.0313,0.0,0.0,,,,,,,,0.3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Chattahoochee Valley Community College,Phenix City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.3415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0775,0.0,,,,,,,,,0.0,0.0087,0.5583,0.4122,0.0033,0.0005,0.0169,,,,,,,,0.4084,,,,,,,,,,,,,,,,,,4206.0,,,,,,,,,,,,,,,,,0.0,
CHAUNCEY SPARKS STATE TECHNICAL COLLEGE,EUFAULA,AL,1,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.0,0.1556,0.0,,,,,,,,,0.0,0.0032,0.4308,0.5579999999999999,0.0064,0.0,0.0016,,,,,,,,0.1479,,,,,,,,,,,,,,,,,,4032.0,,,,,,,,,,,,,,,,,0.0,
