name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.5256,19.0,827.0,827.0,0.1123,0.1081,0.0,0.0424,0.0975,0.0169,0.0,0.0,0.0127,0.0572,0.0424,0.0,0.0297,0.19699999999999998,0.0,,0.0333,0.9353,0.0055,0.0019,0.0024,0.0019,0.0,0.0059,0.0138,,,,,,,,,,,,,0.0656,,438.0,125.0,76.0,28.0,13.0,,,,,,21475.0,9096.0,16596.0,,9427.0,7437.0,6892.0,0.8967,0.7356,0.3525,,0.86023054755043,0.1429,0.3581,0.0,,0.0,,,0.0833,,0.8284,,,0.172
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.8569,27.0,1107.0,1107.0,0.0882,0.0577,0.0,0.0179,0.0746,0.0102,0.0053,0.0,0.0204,0.0228,0.0524,0.0,0.0305,0.1837,0.0184,,0.5922,0.26,0.0283,0.0518,0.0022,0.0007,0.0368,0.0179,0.01,,,,,,,,,,,,,0.2607,,305.0,156.0,153.0,154.0,138.0,,,,,,20621.0,7510.0,17062.0,,9899.0,17920.0,9957.0,0.9072,0.34600000000000003,0.5554,,0.5376915858617399,0.5506,0.5221,0.6071,0.7143,0.375,1.0,1.0,0.7222,0.4717,0.5214,,,0.062
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0588,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4265,0.0,,0.299,0.4192,0.0069,0.0034,0.0,0.0,0.0,0.0,0.2715,,,,,,,,,,,,,0.4536,,,,,,,3.0,0.0,0.0,0.0,0.0,16370.0,6900.0,6900.0,,12459.0,5532.0,3430.0,0.6,0.6801,0.2222,,0.5,,0.1667,,,,,,,0.3333,0.7795,,,0.122
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.8203,30.0,1219.0,1219.0,0.0187,0.2624,0.0,0.0,0.085,0.013999999999999999,0.0075,0.0,0.0261,0.0,0.0177,0.0,0.0317,0.19699999999999998,0.0121,,0.6988,0.1255,0.0382,0.0376,0.0143,0.0002,0.0172,0.0332,0.035,,,,,,,,,,,,,0.2146,,82.0,45.0,55.0,62.0,57.0,,,,,,21107.0,9158.0,21232.0,,8956.0,10211.0,9302.0,0.6221,0.3072,0.4614,,0.50674237047551,0.4792,0.3028,0.5,0.65,0.4286,,0.5833,0.5263,0.5,0.4596,,,0.061
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.5326,19.0,851.0,851.0,0.1267,0.0,0.0,0.0,0.0851,0.017,0.0,0.0,0.0359,0.0624,0.0151,0.0,0.0567,0.1115,0.0132,,0.0158,0.9208,0.0121,0.0019,0.001,0.0006,0.0098,0.0243,0.0137,,,,,,,,,,,,,0.0892,,547.0,140.0,57.0,21.0,13.0,,,,,,18184.0,8720.0,15656.0,,7733.0,7618.0,6609.0,0.6539,0.7347,0.2632,,0.88191577208918,0.4444,0.2599,0.0,0.0,0.0,,1.0,,1.0,0.7554,,,0.156
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.5105,31.0,1185.0,1185.0,0.0762,0.0771,0.0,0.0,0.0318,0.0065,0.003,0.0,0.0111,0.0111,0.0405,0.0,0.0318,0.2874,0.019,,0.7825,0.1119,0.0348,0.0106,0.0038,0.0009,0.0261,0.0268,0.0026,,,,,,,,,,,,,0.0844,,354.0,199.0,208.0,214.0,341.0,,,,,,26400.0,9826.0,24950.0,,12791.0,10239.0,9667.0,0.7045,0.204,0.6566,,0.8160960960960899,0.6652,0.6016,0.6321,0.5909,0.5652,,,0.6667,,0.401,,,0.063
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.5704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975,0.0,,0.7255,0.2613,0.0044,0.0025,0.0044,0.0,0.0,0.0,0.0019,,,,,,,,,,,,,0.3882,,208.0,70.0,49.0,18.0,3.0,,,,,,12054.0,3491.0,6576.0,,2100.0,6847.0,5815.0,0.4338,0.5892,,0.1397,0.7573099415204599,,,,,,,,,,0.3977,,,0.21899999999999997
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.2365,0.0,0.0,0.0408,0.0204,0.0192,0.0168,0.0,0.0024,0.0,0.0216,0.0,0.0108,0.4394,0.0084,,0.7823,0.12,0.0191,0.0053,0.0157,0.001,0.0174,0.0057,0.0334,,,,,,,,,,,,,0.5517,,,,,,,,,,,,,,,,5476.0,6446.0,7711.0,0.4559,0.4088,,,,,,,,,,,,,0.6296,,,0.086
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.8017,24.0,1009.0,1009.0,0.1174,0.0,0.0,0.0231,0.0893,0.0066,0.0,0.0,0.0231,0.0,0.0298,0.0,0.0314,0.3157,0.0066,,0.5328,0.3376,0.0074,0.0221,0.0044,0.0016,0.0297,0.0397,0.0246,,,,,,,,,,,,,0.2853,,169.0,78.0,66.0,59.0,56.0,,,,,,17903.0,9080.0,19640.0,,8071.0,6837.0,7255.0,0.9538,0.4192,0.2194,,0.54961173425366,0.2623,0.15,0.0,0.3333,0.25,,,0.4444,0.1538,0.5803,,,0.106
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.8347,30.0,1215.0,1215.0,0.0921,0.1637,0.0,0.0,0.0934,0.0089,0.0013,0.0,0.0123,0.0178,0.0495,0.0,0.0361,0.1949,0.0125,,0.8507,0.0704,0.0248,0.0227,0.0074,0.0,0.0,0.01,0.013999999999999999,,,,,,,,,,,,,0.0862,,170.0,109.0,134.0,185.0,261.0,,,,,,25282.0,10200.0,27384.0,,14135.0,11704.0,9487.0,0.8816,0.161,0.7086,,0.77652678266803,0.7203,0.6044,0.6458,0.6622,0.7143,,,0.5,0.6176,0.3494,,,0.045
Birmingham Southern College,Birmingham,AL,3,2,,,,,,,,,,,,0.5339,29.0,1181.0,1181.0,0.0741,0.0135,0.0,0.0,0.138,0.0269,0.0236,0.0,0.0269,0.0,0.0976,0.0,0.1077,0.1886,0.0606,,0.7983,0.1102,0.0195,0.0517,0.0102,0.0,0.0051,0.0,0.0051,,,,,,,,,,,,,0.0017,,,,,,,38.0,24.0,39.0,44.0,57.0,45162.0,31708.0,31708.0,,10266.0,10658.0,7451.0,0.6419,0.192,0.6422,,0.9361702127659499,0.6685,0.4,0.375,0.7273,1.0,,,,0.5,0.4809,,,0.044000000000000004
Chattahoochee Valley Community College,Phenix City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.1053,0.0,,0.4661,0.4372,0.0492,0.0127,0.0023,0.0035,0.0151,0.0,0.0139,,,,,,,,,,,,,0.4198,,175.0,50.0,20.0,6.0,5.0,,,,,,6860.0,4320.0,7710.0,,1641.0,4207.0,5878.0,0.2721,0.6369,,0.1186,0.48493543758966995,,,,,,,,,,0.2537,,,0.11
Concordia College Alabama,Selma,AL,3,2,,,,,,,,,,,,0.5328,31.0,942.0,942.0,0.2857,0.0,0.0,0.4603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254,0.0,,0.027999999999999997,0.8758,0.0373,0.0093,0.0,0.0,0.0031,0.0466,0.0,,,,,,,,,,,,,0.1056,,,,,,,102.0,19.0,20.0,6.0,0.0,17603.0,10320.0,10320.0,,5768.0,6755.0,5812.0,0.6389,0.8667,0.1023,,0.5,0.0,0.0947,0.0,,,,,0.6667,,0.9333,,,0.315
South University-Montgomery,Montgomery,AL,2,3,,,,,,,,,,,,,,,,0.0,0.0,0.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1204,0.0,,0.3046,0.6054,0.0153,0.0153,0.0153,0.0096,0.0,0.0019,0.0326,,,,,,,,,,,,,0.3238,,,,,,,15.0,4.0,3.0,1.0,1.0,27870.0,16360.0,16360.0,,14833.0,6605.0,4517.0,0.2273,0.6845,0.09300000000000001,,0.20394736842104996,0.2353,0.0,,,,,,,,0.7129,,,0.17
Enterprise State Community College,Enterprise,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0141,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1131,0.0,,0.6408,0.2435,0.0509,0.0202,0.0081,0.0029,0.0254,0.0012,0.0069,,,,,,,,,,,,,0.3823,,124.0,52.0,22.0,13.0,6.0,,,,,,8676.0,3976.0,7140.0,,2055.0,5522.0,6309.0,0.4296,0.4895,,0.0881,0.5015873015873,,,,,,,,,,0.2263,,,0.23199999999999998
James H Faulkner State Community College,Bay Minette,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0202,0.5161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0161,0.0948,0.0,,0.6979,0.2259,0.032,0.0084,0.0177,0.0014,0.0152,0.0007,0.0009,,,,,,,,,,,,,0.4104,,458.0,123.0,77.0,85.0,34.0,,,,,,11194.0,4260.0,7650.0,,2423.0,4157.0,6119.0,0.5749,0.4725,,0.1093,0.56004618937644,,,,,,,,,,0.3741,,,0.162
Faulkner University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0347,0.0,0.0116,0.0154,0.0077,0.0058,0.0,0.0096,0.0,0.0,0.0,0.0,0.0077,0.657,0.0019,,0.3874,0.5137,0.0258,0.0042,0.0063,0.0013,0.0173,0.0182,0.0258,,,,,,,,,,,,,0.2302,,,,,,,83.0,50.0,46.0,37.0,29.0,30116.0,18750.0,18750.0,,11127.0,5826.0,6485.0,0.425,0.5812,0.3073,,0.4189336235038,0.3464,0.1837,0.3333,0.0,0.3333,,0.0,0.6,0.0,0.7253,,,0.1
Gadsden State Community College,Gadsden,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0126,0.2146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0331,0.0,0.0708,0.0,,0.6921,0.2076,0.0305,0.0047,0.0128,0.0018,0.0185,0.015,0.0169,,,,,,,,,,,,,0.4523,,735.0,41.0,19.0,1.0,0.0,,,,,,10243.0,3168.0,5880.0,,1702.0,5831.0,6185.0,0.4859,0.5734,,0.1283,0.6512788521522099,,,,,,,,,,0.0,,,
New Beginning College of Cosmetology,Albertville,AL,1,3,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8957,0.0348,0.0696,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0783,,,,,,,33.0,7.0,1.0,0.0,0.0,,,,10050.0,7986.0,1961.0,,,0.8224,,0.7321,0.9636363636363601,,,,,,,,,,0.8553,,,0.0
George C Wallace State Community College-Dothan,Dothan,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.2655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0695,0.0,0.0306,0.0,,0.6273,0.324,0.0221,0.0072,0.0049,0.0009,0.0126,0.0,0.0009,,,,,,,,,,,,,0.4787,,445.0,97.0,39.0,1.0,0.0,,,,,,8735.0,3960.0,7350.0,,1928.0,6181.0,5479.0,0.5751,0.5501,,0.1481,0.5888812628689,,,,,,,,,,0.0,,,
George C Wallace State Community College-Hanceville,Hanceville,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0171,0.1868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0296,0.0,,0.863,0.0612,0.0362,0.0065,0.0089,0.0,0.0,0.0059,0.0183,,,,,,,,,,,,,0.4203,,612.0,47.0,49.0,26.0,16.0,,,,,,11703.0,4260.0,7650.0,,2551.0,5159.0,6018.0,0.4214,0.5026,,0.2358,0.6377899045020401,,,,,,,,,,0.4192,,,0.18600000000000003
George C Wallace State Community College-Selma,Selma,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.3518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1446,0.0,0.1036,0.0,,0.1956,0.7449,0.0026,0.004,0.0013,0.0,0.0033,0.004,0.0443,,,,,,,,,,,,,0.384,,270.0,34.0,11.0,0.0,0.0,,,,,,13756.0,3960.0,7350.0,,1184.0,5861.0,5134.0,0.5362,0.7645,,0.2021,0.64478114478114,,,,,,,,,,0.0,,,
Herzing University-Birmingham,Birmingham,AL,1,3,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0455,0.0,,0.3543,0.5265,0.0166,0.0066,0.0,0.0,0.0563,0.0,0.0397,,,,,,,,,,,,,0.5497,,,,,,,22.0,1.0,0.0,0.0,1.0,26200.0,12790.0,12790.0,,11395.0,5800.0,5065.0,0.36,0.6541,0.4,,0.19285714285714,0.4,0.3846,1.0,,,,,,0.0,0.7736,,,0.11599999999999999
Huntingdon College,Montgomery,AL,3,2,,,,,,,,,,,,0.5839,24.0,1026.0,1026.0,0.0466,0.0,0.0,0.0,0.1102,0.0212,0.0212,0.0085,0.0085,0.0,0.0339,0.0,0.0297,0.4746,0.0169,,0.6388,0.1993,0.0252,0.0078,0.0122,0.0017,0.0261,0.0061,0.0827,,,,,,,,,,,,,0.2097,,,,,,,59.0,26.0,35.0,35.0,46.0,32370.0,24550.0,24550.0,,10131.0,6435.0,5772.0,0.4571,0.3982,0.4506,,0.61021505376344,0.4592,0.4286,0.25,,0.0,,,1.0,0.4444,0.7153,,,0.102
