name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.7505,24.0,970.0,970.0,0.2222,0.0471,0.0,0.0,0.0847,0.0207,0.0,0.0,0.0169,0.0282,0.0301,0.0,0.0075,0.1808,0.0038,,,,,,,,,0.0402,0.0017,0.0379,0.9116,0.0036,0.0017,0.0032,,,,,,,,0.0764,,,,,,,,,,,,,4664.0,5200.0,,3519.0,3100.0,5017.0,,,0.4052,,,,,,,,,,0.4615,,,0.13,0.134,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.9098,25.0,1030.0,1030.0,0.1106,0.0595,0.0,0.0024,0.0589,0.0103,0.0061,0.0,0.0109,0.02,0.0553,0.0,0.0273,0.1981,0.0419,,,,,,,,,0.033,0.0255,0.5939,0.3048,0.0299,0.0035,0.0094,,,,,,,,0.2801,,,,,,,,,,,,,3640.0,6610.0,,4982.0,12271.0,6596.0,,,0.3764,,,,,,,,,,0.5789,0.1579,,0.2987,0.049,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0581,,,,,,,,,,,,,,,,6005.0,3755.0,2755.0,,,,,,,,,,,,,,,,0.9032,0.035,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.8381,27.0,1109.0,1109.0,0.0248,0.257,0.0,0.0,0.0557,0.0108,0.0062,0.0,0.0139,0.0,0.0155,0.0,0.0217,0.2492,0.0186,,,,,,,,,0.0396,0.0,0.7390000000000001,0.1438,0.0366,0.0216,0.0194,,,,,,,,0.2689,,,,,,,,,,,,,3536.0,7430.0,,4564.0,5906.0,6357.0,,,0.4146,,,,,,,,,,0.4,,,0.2887,0.065,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,,18.0,784.0,784.0,0.3391,0.0,0.0,0.0,0.0913,0.0152,0.0,0.0,0.0109,0.0522,0.0217,0.0,0.0196,0.1174,0.0,,,,,,,,,0.0028,0.0146,0.0452,0.9331,0.0019,0.0004,0.0019,,,,,,,,0.1223,,,,,,,,,,,,,2904.0,5808.0,,3548.0,4139.0,5085.0,,,0.2498,,,,,,,,,,0.0,,,0.1418,0.171,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.7948,26.0,1091.0,1091.0,0.0792,0.0683,0.0,0.0,0.031,0.0043,0.0031,0.0,0.0066,0.0116,0.0279,0.0,0.0423,0.3108,0.021,,,,,,,,,0.0159,0.0,0.8102,0.1478,0.0107,0.0059,0.0095,,,,,,,,0.0982,,,,,,,,,,,,,3292.0,8912.0,,4395.0,6184.0,6530.0,,,0.5949,,,,,,,,,,0.44,0.0,,0.1157,0.049,
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.3227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1374,0.0,,,,,,,,,0.006999999999999999,0.0006,0.7721,0.2083,0.0025,0.0051,0.0044,,,,,,,,0.3975,,,,,,,,,,,,,2040.0,4080.0,,1905.0,4199.0,4503.0,,,,0.1977,,,,,,,,,,,,0.3845,0.0,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.4007,0.0,0.0,0.0412,0.0112,0.0047,0.0103,0.0,0.0037,0.0,0.0094,0.0,0.0075,0.3371,0.0122,,,,,,,,,0.0,0.0155,0.8408,0.114,0.0049,0.0204,0.0045,,,,,,,,0.5688,,,,,,,,,,,,,,,,2653.0,3535.0,7260.0,,,,,,,,,,,,,,,,0.6344,0.05,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,,23.0,960.0,960.0,0.1768,0.0,0.0,0.0849,0.057999999999999996,0.0042,0.0,0.0,0.0099,0.0,0.0212,0.0,0.0212,0.3451,0.0085,,,,,,,,,0.012,0.0108,0.608,0.3358,0.0168,0.0065,0.0101,,,,,,,,0.3901,,,,,,,,,,,,,3210.0,9630.0,,3336.0,4437.0,5668.0,,,,,,,,,,,,,,,,0.2854,0.096,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.7594,26.0,1094.0,1094.0,0.0908,0.1714,0.0,0.0,0.0423,0.0028,0.0041,0.0,0.0062,0.0077,0.0418,0.0,0.0348,0.2568,0.0098,,,,,,,,,0.0084,0.0016,0.8898,0.0734,0.013000000000000001,0.0046,0.0092,,,,,,,,0.0906,,,,,,,,,,,,,3380.0,9900.0,,12412.0,12261.0,6785.0,,,0.677,,,,,,,,,,0.3333,,,0.0543,0.031,
