name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.501,19.0,846.0,846.0,0.1438,0.0856,0.0,0.021,0.0985,0.0162,0.0,0.0,0.0226,0.0646,0.0485,0.0,0.0162,0.1906,0.0,,0.0263,0.9572,0.0039,0.0017,0.0007,0.0002,0.0,0.001,0.009000000000000001,,,,,,,,,,,,,0.0664,,381.0,118.0,82.0,41.0,22.0,,,,,,14965.0,6828.0,12156.0,,4626.0,6841.0,6460.0,0.7697,0.6933,0.3171,,0.81021194605009,0.2308,0.3179,0.3333,1.0,0.0,,,0.3333,,0.7903,0.14,0.08900000000000001,0.14300000000000002
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.7223,27.0,1107.0,1107.0,0.078,0.0551,0.0,0.006,0.0819,0.0094,0.0154,0.0,0.0184,0.0149,0.0447,0.0,0.0417,0.1822,0.0293,,0.596,0.2684,0.022000000000000002,0.0446,0.0029,0.0006,0.0217,0.0161,0.0276,,,,,,,,,,,,,0.2538,,288.0,162.0,177.0,144.0,136.0,,,,,,19547.0,6264.0,14256.0,,7289.0,16681.0,9420.0,0.9171,0.3381,0.4462,,0.5494428969359301,0.4434,0.389,0.4737,0.6974,0.1429,,0.7778,0.6061,0.6087,0.5355,0.261,0.037000000000000005,0.059000000000000004
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6931,0.0,0.0,0.0,0.2178,0.0,0.0,0.0,0.0,0.0,0.0693,0.0,,0.1806,0.1778,0.025,0.0,0.0,0.0,0.0,0.0,0.6167,,,,,,,,,,,,,0.3861,,,,,,,0.0,2.0,0.0,0.0,0.0,11540.0,8720.0,8720.0,,11969.0,4662.0,3500.0,0.6351,0.6506,0.25,,0.7272727272727201,0.25,,,,,,,,,0.7415,0.8472,0.048,0.107
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.6368,29.0,1164.0,1164.0,0.0214,0.2471,0.0,0.0,0.0652,0.0146,0.0117,0.0,0.0311,0.0,0.0175,0.0,0.036000000000000004,0.2325,0.0136,,0.7117,0.1444,0.0276,0.0346,0.0158,0.0003,0.0137,0.0259,0.0259,,,,,,,,,,,,,0.2337,,102.0,48.0,53.0,48.0,52.0,,,,,,19072.0,8094.0,19424.0,,7264.0,9590.0,8482.0,0.6309,0.3176,0.4537,,0.44872677219545,0.456,0.2985,0.6923,0.4,0.5,,0.5,0.7619,,0.4779,0.2553,0.052000000000000005,0.067
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.508,18.0,783.0,783.0,0.1778,0.0,0.0,0.0,0.1074,0.0123,0.0,0.0,0.0053,0.0827,0.0211,0.0,0.0475,0.1408,0.0018,,0.0106,0.9555,0.006999999999999999,0.0008,0.0002,0.0004,0.0015,0.0049,0.0191,,,,,,,,,,,,,0.0771,,460.0,103.0,39.0,26.0,11.0,,,,,,15986.0,8082.0,14394.0,,7220.0,7581.0,6794.0,0.6052,0.7251,0.2621,,0.81750741839762,0.2941,0.2642,0.2,0.0,0.0,,,0.0,,0.7694,0.1347,0.113,0.21
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.4353,29.0,1158.0,1158.0,0.0681,0.0704,0.0,0.0,0.0367,0.0058,0.004,0.0,0.0121,0.0108,0.0453,0.0,0.0466,0.2989,0.0215,,0.8024,0.1254,0.0243,0.0112,0.0052,0.0005,0.0113,0.0162,0.0034,,,,,,,,,,,,,0.0789,,498.0,247.0,226.0,241.0,161.0,,,,,,21681.0,8600.0,21900.0,,10179.0,10197.0,8822.0,0.7331,0.2294,0.6579,,0.7934056761268701,0.667,0.589,0.6733,0.6579,0.5909,,,0.6087,0.6222,0.3593,0.0829,0.047,0.055999999999999994
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.3773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706,0.0,,0.6732,0.3067,0.0051,0.0026,0.0051,0.0004,0.0,0.0004,0.0064,,,,,,,,,,,,,0.361,,349.0,76.0,6.0,0.0,0.0,,,,,,7485.0,2700.0,5400.0,,1679.0,5143.0,5498.0,0.2188,0.615,,0.2354,0.6905882352941101,,,,,,,,,,0.3053,0.3713,0.18100000000000002,0.306
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.2966,0.0,0.0,0.0406,0.0208,0.0395,0.0104,0.0,0.0021,0.0,0.0312,0.0,0.0073,0.3632,0.0187,,0.7989,0.1196,0.0106,0.0059,0.0177,0.0006,0.0118,0.0071,0.0277,,,,,,,,,,,,,0.5289,,,,,,,,,,,,,,,,4356.0,5685.0,7333.0,0.3881,0.3839,,,,,,,,,,,,,0.5871,0.6952,0.042,0.064
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.7894,23.0,970.0,970.0,0.1469,0.0,0.0,0.0313,0.0891,0.0141,0.0,0.0,0.0188,0.0,0.0344,0.0,0.0219,0.3141,0.0047,,0.5449,0.29,0.0168,0.0338,0.0036,0.0007,0.0,0.0111,0.099,,,,,,,,,,,,,0.3202,,301.0,63.0,29.0,8.0,6.0,,,,,,15179.0,7580.0,21440.0,,5991.0,5428.0,6763.0,0.9565,0.41,0.3327,,0.59629941126997,0.4133,0.1868,0.4286,0.3333,0.25,,,0.0,0.8333,0.5571,0.2666,0.102,0.124
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.7,30.0,1204.0,1204.0,0.10099999999999999,0.1475,0.0,0.0,0.0592,0.0065,0.0031,0.0,0.0077,0.019,0.0496,0.0,0.0411,0.222,0.019,,0.8553,0.0743,0.0283,0.0183,0.0069,0.0,0.0,0.0066,0.0103,,,,,,,,,,,,,0.0885,,224.0,121.0,165.0,180.0,216.0,,,,,,21140.0,8698.0,23272.0,,11043.0,10823.0,8808.0,0.8667,0.1767,0.6628,,0.7654185022026401,0.6966,0.4188,0.5185,0.5441,0.6,,,0.3333,0.6964,0.3718,0.0429,0.046,0.068
