name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.4199,20.0,870.0,870.0,0.2033,0.0767,0.0,0.0,0.0717,0.0217,0.0,0.0,0.015,0.035,0.0667,0.0,0.005,0.205,0.0,,,,,,,,,0.0266,0.0,0.0239,0.9429,0.001,0.0016,0.004,,,,,,,,0.0809,,,,,,,,,,,,,4420.0,8320.0,,4464.0,3832.0,5406.0,0.8045,,0.3195,,,,,,,,,,0.4063,,,0.1405,0.073,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.8769,26.0,1076.0,1076.0,0.0665,0.0374,0.0,0.0071,0.0505,0.0065,0.0119,0.0,0.0149,0.019,0.0505,0.0,0.0392,0.2305,0.038,,,,,,,,,0.0239,0.0217,0.5843,0.3212,0.0338,0.0042,0.0109,,,,,,,,0.2756,,,,,,,,,,,,,4792.0,10732.0,,4856.0,14397.0,7796.0,0.9258,,0.3587,,,,,,,,,,0.4773,0.3571,,0.2579,0.044000000000000004,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.5923,0.0,0.0,0.0,0.4077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0728,0.5714,0.3154,0.0027,0.0027,0.035,,,,,,,,0.1644,,,,,,,,,,,,,10400.0,10400.0,,8901.0,3973.0,3130.0,0.7703,,,,,,,,,,,,,,,0.8437,0.036000000000000004,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.8716,28.0,1147.0,1147.0,0.0288,0.2356,0.0,0.0,0.0639,0.0088,0.0038,0.0,0.0201,0.0,0.0201,0.0,0.0426,0.2644,0.0063,,,,,,,,,0.0361,0.0094,0.7454,0.1443,0.0325,0.0111,0.0212,,,,,,,,0.2578,,,,,,,,,,,,,4688.0,9886.0,,4734.0,6510.0,7095.0,0.6074,,0.4384,,,,,,,,,,0.6429,,,0.2661,0.037000000000000005,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.5071,18.0,756.0,756.0,0.2712,0.0,0.0,0.0,0.0615,0.0077,0.0,0.0,0.0096,0.0673,0.025,0.0,0.0288,0.1269,0.0135,,,,,,,,,0.0036,0.0009,0.0238,0.9677,0.0011,0.0004,0.0025,,,,,,,,0.1122,,,,,,,,,,,,,4008.0,8016.0,,5431.0,4535.0,5473.0,0.5588,,0.2287,,,,,,,,,,0.5,0.0,,0.1534,0.125,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.7367,26.0,1087.0,1087.0,0.0706,0.0631,0.0,0.0,0.0266,0.0055,0.0038,0.0,0.0075,0.0143,0.043,0.0,0.0426,0.2955,0.0188,,,,,,,,,0.0108,0.005,0.8354,0.1183,0.0092,0.0062,0.0152,,,,,,,,0.0942,,,,,,,,,,,,,4864.0,13516.0,,5511.0,6694.0,7636.0,0.7825,,0.629,,,,,,,,,,0.75,,,0.1094,0.035,
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0801,0.0,,,,,,,,,0.0,0.0028,0.7453,0.2346,0.0042,0.0037,0.0094,,,,,,,,0.4415,,,,,,,,,,,,,2340.0,4830.0,,1124.0,4082.0,5145.0,0.1497,,,0.2506,,,,,,,,,,,,0.3834,0.06,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.3767,0.0,0.0,0.0664,0.0217,0.0339,0.0068,0.0,0.0041,0.0,0.0136,0.0,0.0095,0.2791,0.0122,,,,,,,,,0.0,0.0275,0.8227,0.1092,0.0053,0.0291,0.0062,,,,,,,,0.5287,,,,,,,,,,,,,,,,2094.0,4083.0,6473.0,0.4237,,,,,,,,,,,,,,,0.6738,0.037000000000000005,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.9803,23.0,970.0,970.0,0.1659,0.0,0.0,0.0322,0.0515,0.0129,0.0,0.0,0.0081,0.0,0.0306,0.0,0.0209,0.3607,0.0097,,,,,,,,,0.0047,0.0247,0.6056,0.327,0.0186,0.006,0.0135,,,,,,,,0.3716,,,,,,,,,,,,,4640.0,13460.0,,3891.0,5035.0,6348.0,0.62,,0.3004,,,,,,,,,,,0.0,,0.2644,0.10099999999999999,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.8152,27.0,1110.0,1110.0,0.0939,0.1471,0.0,0.0,0.0411,0.0031,0.0028,0.0,0.0049,0.0128,0.0781,0.0,0.0431,0.2573,0.0179,,,,,,,,,0.0073,0.0133,0.8637,0.0796,0.0151,0.0059,0.0151,,,,,,,,0.0761,,,,,,,,,,,,,5278.0,14878.0,,7516.0,7194.0,7743.0,0.8929,,0.619,,,,,,,,,,0.5789,1.0,,0.0427,0.033,
