name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.4726,19.0,851.0,851.0,0.121,0.0796,0.0,0.0,0.1178,0.0143,0.0,0.0,0.0111,0.0446,0.0573,0.0,0.0143,0.2277,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,0.0016,0.0272,0.9543,0.0025,0.002,0.0033,,,,,,,,0.0749,,234.0,95.0,20.0,6.0,3.0,,,,,,13242.0,4692.0,8638.0,,5509.0,5619.0,6441.0,0.8099,0.5418,0.2875,,0.8061776061776,,,,,,,,0.1818,,0.6991,0.1308,0.10800000000000001,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.8357,27.0,1107.0,1107.0,0.0647,0.0502,0.0,0.0016,0.0683,0.0109,0.0135,0.0,0.016,0.0223,0.0502,0.0,0.0476,0.1615,0.0362,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212,0.0443,0.607,0.2624,0.0419,0.0048,0.0183,,,,,,,,0.2327,,156.0,113.0,121.0,105.0,70.0,,,,,,16955.0,5096.0,11432.0,,5985.0,15452.0,8634.0,0.9204,0.2496,0.3958,,0.58000774893452,,,,,,,,0.5862,0.5217,0.4493,0.2592,0.034,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,0.875,,,,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951,0.4602,0.38299999999999995,0.0129,0.0026,0.0463,,,,,,,,0.3625,,,,,,,6.0,3.0,0.0,0.0,0.0,20100.0,8000.0,8000.0,,10873.0,5428.0,3500.0,0.5195,0.4747,0.0,,1.0,,,,,,,,,,0.7022,0.8869,0.064,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.7209,28.0,1145.0,1145.0,0.0311,0.2478,0.0,0.0,0.0711,0.0111,0.0056,0.0,0.02,0.0,0.03,0.0,0.0322,0.23,0.0156,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309,0.026000000000000002,0.7262,0.1469,0.028999999999999998,0.017,0.024,,,,,,,,0.2258,,76.0,58.0,56.0,72.0,49.0,,,,,,16876.0,6510.0,15628.0,,6155.0,7679.0,7914.0,0.6629999999999999,0.2342,0.4755,,0.49679075738124995,,,,,,,,0.7273,1.0,0.4258,0.2432,0.04,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.4625,18.0,805.0,805.0,0.1831,0.0,0.0,0.0,0.0986,0.0201,0.0,0.0,0.0121,0.0584,0.0262,0.0,0.0644,0.1207,0.0121,,0.0099,0.9752,0.0028,0.0002,0.0004,0.0004,0.0,0.0045,0.0065,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.091,,376.0,155.0,52.0,32.0,7.0,,,,,,14000.0,6468.0,12084.0,,5991.0,5900.0,6567.0,0.5907,0.6953,0.2174,,0.8556263269639001,0.0667,0.2211,0.25,,,,,0.0,0.0,0.8514,0.1194,0.158,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.5870000000000001,28.0,1122.0,1122.0,0.0733,0.0622,0.0,0.0,0.0358,0.0054,0.0054,0.0,0.01,0.0119,0.0439,0.0,0.0466,0.2798,0.0172,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0001,0.8349,0.1175,0.0111,0.0057,0.022000000000000002,,,,,,,,0.0749,,382.0,156.0,42.0,0.0,1.0,,,,,,20496.0,7000.0,19200.0,,8900.0,9798.0,8160.0,0.7402,0.1723,0.6593,,0.80863218026023,,,,,,,,0.6087,,0.3109,0.0833,0.033,
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1032,0.0,,0.705,0.2775,0.0061,0.0013,0.0031,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.3317,,148.0,59.0,6.0,0.0,0.0,,,,,,6658.0,2700.0,4830.0,,1406.0,5400.0,5617.0,0.2205,0.4744,,0.2624,0.7235079171741701,,,,,,,,,,0.2942,0.3621,0.213,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.3317,0.0,0.0,0.0395,0.0216,0.0299,0.0048,0.0,0.0072,0.0,0.024,0.0,0.0036,0.3425,0.0168,,0.8103,0.1202,0.0098,0.0116,0.0278,0.0,0.0027,0.0021,0.0156,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.5163,,,,,,,,,,,,,,,,3836.0,6065.0,7215.0,0.4141,0.3466,,,,,,,,,,,,,0.5256,0.6958,0.023,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.9492,23.0,970.0,970.0,0.1321,0.0,0.0,0.0584,0.1045,0.0123,0.0,0.0,0.0123,0.0,0.0184,0.0,0.0353,0.3287,0.0061,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0291,0.0323,0.5896,0.3166,0.0156,0.0049,0.012,,,,,,,,0.3288,,154.0,91.0,74.0,71.0,44.0,,,,,,13372.0,5970.0,17250.0,,4985.0,5657.0,6875.0,0.9841,0.2967,0.2771,,0.6090909090909,,,,,,,,0.6667,0.4,0.4907,0.2946,0.08800000000000001,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.795,29.0,1184.0,1184.0,0.0977,0.1342,0.0,0.0,0.0604,0.0058,0.0025,0.0,0.0051,0.0244,0.0606,0.0,0.0327,0.2445,0.013999999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063,0.0098,0.86,0.0776,0.0182,0.0064,0.0218,,,,,,,,0.077,,190.0,122.0,211.0,279.0,320.0,,,,,,17966.0,6972.0,19452.0,,10258.0,10616.0,8609.0,0.8816,0.1302,0.6709,,0.7417697431018001,,,,,,,,0.5,0.5849,0.4281,0.0469,0.042,
