name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.4118,20.0,870.0,870.0,0.1777,0.0814,0.0,0.0,0.0814,0.01,0.0,0.0,0.0017,0.0631,0.0432,0.0,0.005,0.2159,0.0,,,,,,,,,0.0248,0.0,0.0194,0.95,0.0012,0.0012,0.0034,,,,,,,,0.0682,,,,,,,,,,,,,3640.0,6760.0,,4600.0,4325.0,5674.0,0.8159,,0.3353,,0.8499624906226501,,,,,,,,0.4737,,,,0.06,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.8778,26.0,1095.0,1095.0,0.0601,0.0431,0.0,0.0011,0.0612,0.0062,0.0079,0.0,0.0198,0.0283,0.0476,0.0,0.038,0.1927,0.0351,,,,,,,,,0.0232,0.0222,0.5906,0.3074,0.0394,0.0045,0.0127,,,,,,,,0.2649,,,,,,,,,,,,,4792.0,10732.0,,4918.0,14973.0,8232.0,0.9186,,0.3582,,0.9712606139777901,,,,,,,,0.4211,0.4,,,0.034,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6066,0.0,0.0,0.0,0.3934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.1311,0.5301,0.2978,0.0,0.0,0.040999999999999995,,,,,,,,0.2322,,,,,,,,,,,,,6000.0,6000.0,,9496.0,4776.0,3217.0,0.5568,,,,1.0,,,,,,,,,,,,0.04,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.8834,27.0,1109.0,1109.0,0.0282,0.2377,0.0,0.0,0.0417,0.0147,0.0074,0.0,0.0233,0.0,0.0343,0.0,0.0564,0.2635,0.011000000000000001,,,,,,,,,0.0291,0.0161,0.7381,0.1479,0.0318,0.0145,0.0224,,,,,,,,0.244,,,,,,,,,,,,,4848.0,10224.0,,4880.0,6982.0,7391.0,0.6392,,0.4425,,0.9606205250596601,,,,,,,,0.4615,,,,0.037000000000000005,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.6698,18.0,785.0,785.0,0.2531,0.0,0.0,0.0,0.051,0.0105,0.0,0.0,0.0,0.0861,0.0193,0.0,0.0475,0.1019,0.0088,,,,,,,,,0.0022,0.0022,0.0142,0.9775,0.0009,0.0002,0.0028,,,,,,,,0.1407,,,,,,,,,,,,,4008.0,8016.0,,4643.0,5057.0,6233.0,0.5789,,0.28800000000000003,,0.85216819973718,,,,,,,,0.0,0.2,,,0.10400000000000001,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.7004,27.0,1113.0,1113.0,0.0718,0.0668,0.0,0.0,0.0266,0.005,0.0039,0.0,0.0107,0.011000000000000001,0.0348,0.0,0.0433,0.2806,0.0202,,,,,,,,,0.0104,0.0084,0.8351,0.1121,0.0084,0.0063,0.0193,,,,,,,,0.0832,,,,,,,,,,,,,5278.0,15294.0,,6445.0,6776.0,8202.0,0.7827,,0.631,,0.74334924965893,,,,,,,,0.4762,,,,0.013000000000000001,
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0738,0.0,,,,,,,,,0.0,0.0038,0.7173,0.2652,0.0038,0.0038,0.0062,,,,,,,,0.3902,,,,,,,,,,,,,2340.0,4830.0,,1318.0,4303.0,4962.0,0.2035,,,0.2494,0.6927899686520301,,,,,,,,,,,,0.11199999999999999,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.3202,0.0,0.0,0.0354,0.0236,0.0289,0.0079,0.0,0.0092,0.0,0.0381,0.0,0.0079,0.2835,0.0171,,,,,,,,,0.0,0.0242,0.8261,0.106,0.0069,0.0292,0.0077,,,,,,,,0.5489,,,,,,,,,,,,,,,,1935.0,4833.0,6614.0,0.4184,,,,,,,,,,,,,,,,0.022000000000000002,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.9801,23.0,970.0,970.0,0.1551,0.0,0.0,0.0258,0.0711,0.0097,0.0,0.0,0.0242,0.0,0.0291,0.0,0.0194,0.35700000000000004,0.0065,,,,,,,,,0.0023,0.0305,0.6147,0.3123,0.0198,0.0044,0.016,,,,,,,,0.3635,,,,,,,,,,,,,4760.0,13760.0,,4172.0,5189.0,6489.0,0.6715,,0.2883,,0.83096366508688,,,,,,,,,0.0,,,0.069,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.7248,27.0,1125.0,1125.0,0.0893,0.1262,0.0,0.0,0.0503,0.0067,0.003,0.0,0.0057,0.0151,0.0804,0.0,0.0322,0.2634,0.0129,,,,,,,,,0.0066,0.0142,0.8552,0.0834,0.0164,0.0066,0.0177,,,,,,,,0.0796,,,,,,,,,,,,,5496.0,15496.0,,7943.0,7178.0,8467.0,0.9119,,0.6273,,0.99437927663734,,,,,,,,0.5,0.6,,,0.019,
Birmingham Southern College,Birmingham,AL,3,2,,,,,,,,,,,,0.5701,28.0,1167.0,1167.0,0.0573,0.0038,0.0,0.0,0.1069,0.0153,0.0382,0.0,0.0,0.0,0.0649,0.0,0.1107,0.2519,0.0458,,,,,,,,,0.0025,0.0133,0.8567,0.0795,0.0307,0.0041,0.0133,,,,,,,,0.0157,,,,,,,,,,,,,22260.0,22260.0,,11607.0,13563.0,6507.0,0.6516,,0.6921,,0.89570552147239,,,,,,,,,0.0,,,0.016,
Chattahoochee Valley Community College,Phenix City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.5431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.1086,0.0,,,,,,,,,0.0,0.0286,0.4898,0.4408,0.0089,0.0019,0.0299,,,,,,,,0.4332,,,,,,,,,,,,,2700.0,4830.0,,1689.0,2319.0,5303.0,0.2936,,,0.11900000000000001,0.25991649269311,,,,,,,,,,,,0.14400000000000002,
Concordia College Alabama,Selma,AL,3,2,,,,,,,,,,,,,,,,0.6064,0.0,0.0,0.0957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2979,0.0,,,,,,,,,0.0254,0.0,0.023,0.9516,0.0,0.0,0.0,,,,,,,,0.1741,,,,,,,,,,,,,6796.0,6796.0,,1388.0,2423.0,5427.0,1.0,,0.1677,,0.9520547945205401,,,,,,,,0.7,,,,0.0,
South University-Montgomery,Montgomery,AL,2,3,,,,,,,,,,,,0.68,,,,0.0,0.0,0.2317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317,0.0,,,,,,,,,0.0,0.0022,0.2966,0.6899,0.0022,0.0045,0.0045,,,,,,,,0.3393,,,,,,,,,,,,,11850.0,11850.0,,14061.0,3329.0,3829.0,0.3571,,0.2222,,0.7464788732394301,,,,,,,,,,,,0.038,
Enterprise State Community College,Enterprise,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0074,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743,0.0,,,,,,,,,0.0,0.0118,0.7481,0.1866,0.0165,0.0108,0.0262,,,,,,,,0.4488,,,,,,,,,,,,,2520.0,4508.0,,1701.0,4862.0,5168.0,0.4831,,,0.1984,0.52697095435684,,,,,,,,,,,,0.086,
James H Faulkner State Community College,Bay Minette,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0164,0.6033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587,0.061,0.0,,,,,,,,,0.0006,0.0033,0.8154,0.1455,0.0091,0.0133,0.0127,,,,,,,,0.3561,,,,,,,,,,,,,2790.0,4920.0,,1630.0,2582.0,5622.0,0.3264,,,0.1552,0.6561232765612299,,,,,,,,,,,,0.013000000000000001,
Faulkner University,Montgomery,AL,3,2,,,,,,,,,,,,0.6529,23.0,973.0,973.0,0.0207,0.0,0.0252,0.0415,0.0119,0.0015,0.0,0.0133,0.0,0.0,0.0,0.0,0.003,0.68,0.0074,,,,,,,,,0.0033,0.0165,0.516,0.4426,0.0052,0.0052,0.0113,,,,,,,,0.2844,,,,,,,,,,,,,11540.0,11540.0,,6728.0,4160.0,5974.0,0.9239,,0.2882,,0.8433734939759,,,,,,,,,0.0,,,0.038,
Gadsden Business College,Rainbow City,AL,1,3,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2679,0.0,,,,,,,,,0.0,0.0,0.7593,0.1667,0.0,0.0,0.0741,,,,,,,,0.0,,,,,,,,,,,,,,,7630.0,8167.0,2407.0,,0.6667,,,0.7,1.0,,,,,,,,,,,,0.23199999999999998,
Gadsden State Community College,Gadsden,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0184,0.16699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618,0.0,0.1041,0.0,,,,,,,,,0.0218,0.0118,0.7654,0.1803,0.0043,0.0033,0.0132,,,,,,,,0.4482,,,,,,,,,,,,,2700.0,4830.0,,1717.0,3810.0,5254.0,0.4051,,,0.2187,0.6495198902606301,,,,,,,,,,,,0.0,
George C Wallace State Community College-Dothan,Dothan,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.1633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0683,0.0,0.0367,0.0,,,,,,,,,0.0006,0.0075,0.69,0.272,0.0133,0.003,0.0136,,,,,,,,0.4614,,,,,,,,,,,,,2700.0,4830.0,,1610.0,4206.0,5108.0,0.5408,,,0.1628,0.6472303206997,,,,,,,,,,,,0.1,
George C Wallace State Community College-Hanceville,Hanceville,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0157,0.1878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378,0.0,,,,,,,,,0.0002,0.0065,0.9179999999999999,0.0541,0.0044,0.0075,0.0092,,,,,,,,0.4355,,,,,,,,,,,,,2700.0,4830.0,,1592.0,2701.0,5130.0,0.3993,,,0.4392,0.55255474452554,,,,,,,,,,,,0.10099999999999999,
George C Wallace State Community College-Selma,Selma,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.2141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528,0.0,0.217,0.0,,,,,,,,,0.0,0.002,0.3635,0.6305,0.0013,0.0,0.0026,,,,,,,,0.3291,,,,,,,,,,,,,2700.0,4800.0,,1316.0,3681.0,5076.0,0.4375,,,0.175,0.6995798319327701,,,,,,,,,,,,0.0,
Herzing University-Birmingham,Birmingham,AL,3,3,,,,,,,,,,,,0.5396,,,,0.0,0.2143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2959,0.0,,,,,,,,,0.0,0.017,0.3455,0.6204,0.0097,0.0,0.0073,,,,,,,,0.3309,,,,,,,,,,,,,8790.0,8790.0,,8750.0,3241.0,3973.0,0.2963,,0.4545,,0.73626373626373,,,,,,,,,,,,0.083,
