name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.5438,19.0,847.0,847.0,0.1203,0.1372,0.0,0.0282,0.1015,0.0075,0.0,0.0,0.015,0.0301,0.0695,0.0,0.0075,0.2162,0.0,,0.026000000000000002,0.9552,0.0037,0.0007,0.0005,0.0002,0.0,0.0049,0.0088,,,,,,,,,,,,,0.0762,,394.0,80.0,45.0,30.0,15.0,,,,,,17351.0,7182.0,12774.0,,6222.0,8511.0,6678.0,0.7509,0.7011,0.3222,,0.86293103448275,0.25,0.3255,0.25,1.0,,,,0.0769,,0.7935,,0.114,0.165
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.7223,27.0,1107.0,1107.0,0.0697,0.0578,0.0,0.0184,0.0722,0.0159,0.006,0.0,0.0184,0.0244,0.0483,0.0,0.0398,0.1678,0.0294,,0.5937,0.2654,0.0246,0.0474,0.0026,0.0008,0.0294,0.0157,0.0203,,,,,,,,,,,,,0.2533,,308.0,155.0,164.0,152.0,125.0,,,,,,20441.0,6798.0,15462.0,,8181.0,17063.0,9650.0,0.9161,0.368,0.4815,,0.56354344122657,0.5083,0.3528,0.6,0.7727,0.3333,,0.75,0.6,0.2917,0.5529,,0.06,0.07
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.7619,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,,0.2633,0.3698,0.0089,0.0118,0.0,0.0,0.0,0.0,0.3462,,,,,,,,,,,,,0.3728,,,,,,,6.0,1.0,0.0,0.0,0.0,11420.0,6800.0,6800.0,,11980.0,4520.0,3635.0,0.6543,0.8688,0.0,,0.69230769230769,0.0,,,,,,,,,0.9679,,0.071,0.075
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.7766,29.0,1162.0,1162.0,0.0148,0.2648,0.0,0.0,0.071,0.0175,0.0111,0.0,0.0203,0.0,0.0157,0.0,0.0498,0.2279,0.0111,,0.7019,0.1408,0.0344,0.033,0.0146,0.0002,0.0147,0.0293,0.0312,,,,,,,,,,,,,0.2271,,110.0,41.0,60.0,56.0,40.0,,,,,,19687.0,8794.0,21108.0,,7998.0,9317.0,8923.0,0.8495,0.3345,0.4732,,0.47453703703703,0.4873,0.3269,0.4286,0.5263,0.6154,,0.3,0.7586,0.5,0.4787,,0.077,0.084
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.4604,19.0,827.0,827.0,0.1863,0.0,0.0,0.0,0.0867,0.0295,0.0,0.0,0.0111,0.0738,0.0074,0.0,0.0406,0.1365,0.0111,,0.0121,0.9492,0.0102,0.0006,0.0006,0.0006,0.0037,0.008,0.015,,,,,,,,,,,,,0.0859,,470.0,95.0,44.0,27.0,10.0,,,,,,17533.0,7932.0,14244.0,,7797.0,8100.0,6408.0,0.6434,0.7752,0.2635,,0.8578255675029799,0.5,0.2636,0.0,,,,,,0.0,0.8157,,0.132,0.19
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.5308,30.0,1172.0,1172.0,0.0819,0.0745,0.0,0.0,0.035,0.0067,0.0045,0.0,0.0107,0.0132,0.0522,0.0,0.0366,0.2733,0.0237,,0.7939,0.1185,0.0282,0.011000000000000001,0.0042,0.0008,0.0165,0.0234,0.0034,,,,,,,,,,,,,0.0824,,447.0,209.0,229.0,268.0,352.0,,,,,,23939.0,9200.0,22950.0,,11610.0,9977.0,9362.0,0.7228,0.2247,0.6655,,0.80718288334182,0.6708,0.5876,0.7532,0.6429,0.6061,,,0.6552,0.6364,0.4231,,0.066,0.08199999999999999
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.3432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302,0.0,,0.6544,0.3161,0.0116,0.0026,0.0037,0.0,0.0,0.0084,0.0032,,,,,,,,,,,,,0.4636,,452.0,0.0,0.0,0.0,0.0,,,,,,6726.0,4140.0,7410.0,,1861.0,6788.0,5855.0,0.58,0.6377,,0.1465,0.53277209861695,,,,,,,,,,0.3807,,0.204,0.259
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.2957,0.0,0.0,0.0309,0.0319,0.0266,0.0074,0.0,0.0,0.0,0.034,0.0,0.0021,0.3809,0.0181,,0.7855,0.1212,0.0178,0.0055,0.0163,0.0003,0.012,0.0092,0.032,,,,,,,,,,,,,0.5292,,,,,,,,,,,,,,,,4707.0,5704.0,7532.0,0.4324,0.43,,,,,,,,,,,,,0.6278,,0.067,0.078
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.7395,24.0,1050.0,1050.0,0.1499,0.0,0.0,0.0238,0.1079,0.0128,0.0,0.0,0.0238,0.0,0.0274,0.0,0.053,0.2998,0.0073,,0.5399,0.2802,0.0129,0.0459,0.0044,0.0,0.0066,0.0063,0.1039,,,,,,,,,,,,,0.3205,,216.0,54.0,73.0,53.0,43.0,,,,,,15594.0,8150.0,23150.0,,6912.0,6294.0,7060.0,0.9781,0.4202,0.3004,,0.60940695296523,0.3322,0.2472,0.0833,0.3846,0.0,,,,0.4286,0.563,,0.09,0.13699999999999998
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.7723,30.0,1217.0,1217.0,0.1066,0.1631,0.0,0.0,0.07,0.0077,0.0026,0.0,0.0084,0.0159,0.0588,0.0,0.0401,0.2049,0.0175,,0.8539,0.0717,0.0283,0.0197,0.0072,0.0,0.0,0.0059,0.0135,,,,,,,,,,,,,0.0853,,193.0,110.0,166.0,145.0,245.0,,,,,,22352.0,9446.0,25190.0,,12302.0,11066.0,9177.0,0.8802,0.1754,0.6827,,0.7592039800995,0.7224,0.4352,0.5673,0.6806,0.7,,,0.6,0.6346,0.3714,,0.045,0.064
Birmingham Southern College,Birmingham,AL,3,2,,,,,,,,,,,,0.6522,29.0,1164.0,1164.0,0.05,0.0147,0.0,0.0,0.1059,0.0382,0.0324,0.0,0.0412,0.0,0.0706,0.0,0.1235,0.2059,0.0353,,0.8279,0.0816,0.0261,0.0408,0.009000000000000001,0.0,0.0057,0.0,0.009000000000000001,,,,,,,,,,,,,0.0155,,,,,,,35.0,16.0,27.0,31.0,48.0,40957.0,30690.0,30690.0,,13301.0,10520.0,7211.0,0.5933,0.2199,0.6552,,0.92372881355932,0.6903,0.425,0.75,0.7143,0.5,,,1.0,0.7,0.5103,,0.085,0.091
Chattahoochee Valley Community College,Phenix City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207,0.095,0.0,,0.4863,0.4164,0.0432,0.0103,0.0049,0.0024,0.0073,0.0,0.0292,,,,,,,,,,,,,0.40299999999999997,,179.0,38.0,17.0,0.0,0.0,,,,,,6740.0,4200.0,7470.0,,1877.0,4836.0,5451.0,0.325,0.6064,,0.1459,0.50206896551724,,,,,,,,,,0.0348,,0.096,0.254
Concordia College Alabama,Selma,AL,2,2,,,,,,,,,,,,,,,,0.1333,0.0,0.0,0.5556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111,0.0,,0.0131,0.9313,0.0082,0.0,0.0,0.0,0.0,0.0164,0.0311,,,,,,,,,,,,,0.0753,,,,,,,102.0,19.0,27.0,3.0,0.0,17730.0,8090.0,8090.0,,6681.0,5347.0,5835.0,0.6329,0.8748,0.0912,,0.6753246753246701,0.4444,0.0758,,,,,,1.0,,0.7121,,0.223,0.314
South University-Montgomery,Montgomery,AL,2,3,,,,,,,,,,,,0.7397,,,,0.0,0.0,0.1468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1927,0.0,,0.25,0.6903,0.0185,0.0128,0.0057,0.0014,0.0,0.0014,0.0199,,,,,,,,,,,,,0.2557,,,,,,,39.0,6.0,4.0,2.0,1.0,28156.0,16360.0,16360.0,,15255.0,4605.0,4609.0,0.3235,0.7812,0.15,,0.22807017543859,0.1875,0.1304,,,0.0,,,,,0.7885,,0.174,0.23
