name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.5129,19.0,849.0,849.0,0.1595,0.0957,0.0,0.0,0.0882,0.0131,0.0,0.0,0.0263,0.0544,0.0525,0.0,0.0094,0.1932,0.0,,0.0199,0.9617,0.0032,0.0018,0.0006,0.0,0.0,0.0087,0.0041,,,,,,,,,,,,,0.069,,334.0,108.0,50.0,29.0,21.0,,,,,,13762.0,5800.0,10672.0,,6746.0,6601.0,6603.0,0.8263,0.6317,0.3306,,0.83183856502242,,,,,,,,0.5,,0.7411,,0.095,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.8243,27.0,1108.0,1108.0,0.079,0.0552,0.0,0.0021,0.0816,0.0083,0.0103,0.0,0.0134,0.0186,0.0423,0.0,0.0392,0.1657,0.0398,,0.6036,0.2673,0.0202,0.0413,0.0032,0.0008,0.0114,0.0178,0.0344,,,,,,,,,,,,,0.2361,,233.0,121.0,165.0,160.0,115.0,,,,,,18003.0,5806.0,13198.0,,6343.0,16090.0,9000.0,0.9298,0.2882,0.4108,,0.54162276080084,,,,,,,,0.5926,0.4074,0.4918,,0.037000000000000005,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,0.7143,,,,0.0,0.0,0.0,0.6022,0.0,0.0,0.0,0.3441,0.0,0.0,0.0,0.0,0.0,0.0215,0.0,,0.3432,0.3432,0.0324,0.0081,0.0,0.0,0.0,0.0,0.273,,,,,,,,,,,,,0.3595,,,,,,,2.0,0.0,1.0,0.0,0.0,20700.0,8360.0,8360.0,,11499.0,4879.0,3400.0,0.5,0.5816,0.2308,,1.0,,,,,,,,,,0.75,,0.085,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.6614,29.0,1163.0,1163.0,0.0311,0.2765,0.0,0.0,0.0697,0.0182,0.0193,0.0,0.0247,0.0,0.0193,0.0,0.045,0.2047,0.0204,,0.7181,0.1495,0.0252,0.0321,0.0142,0.0002,0.0153,0.0278,0.0177,,,,,,,,,,,,,0.2277,,115.0,56.0,60.0,51.0,62.0,,,,,,17064.0,7492.0,17986.0,,6548.0,8379.0,8154.0,0.6326,0.275,0.4364,,0.45836516424751,,,,,,,,0.6316,,0.4633,,0.037000000000000005,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.4372,17.0,742.0,742.0,0.1909,0.0,0.0,0.0,0.1002,0.0227,0.0,0.0,0.0057,0.0699,0.0189,0.0,0.051,0.138,0.0057,,0.0094,0.9543,0.0039,0.0002,0.0004,0.0006,0.0004,0.0051,0.0256,,,,,,,,,,,,,0.077,,405.0,108.0,61.0,20.0,6.0,,,,,,14390.0,7164.0,13476.0,,6937.0,7386.0,6671.0,0.6216,0.7439,0.2399,,0.78643578643578,,,,,,,,0.0,0.0526,0.8601,,0.14800000000000002,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.5358,29.0,1155.0,1155.0,0.081,0.0672,0.0,0.0,0.0357,0.0044,0.0058,0.0,0.0121,0.0093,0.0392,0.0,0.039,0.2915,0.0198,,0.8183,0.1218,0.0242,0.0109,0.0053,0.0004,0.0053,0.0115,0.0023,,,,,,,,,,,,,0.0734,,459.0,225.0,226.0,219.0,137.0,,,,,,21565.0,7900.0,20500.0,,9700.0,9328.0,8374.0,0.7262,0.2073,0.6726,,0.7895569620253101,,,,,,,,0.6471,,0.34700000000000003,,0.037000000000000005,
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.3277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912,0.0,,0.6869,0.2935,0.0051,0.0026,0.0051,0.0,0.0,0.0004,0.0064,,,,,,,,,,,,,0.3229,,294.0,60.0,16.0,0.0,0.0,,,,,,7109.0,3270.0,5970.0,,1584.0,4950.0,5717.0,0.2298,0.5481,,0.1869,0.7226277372262699,,,,,,,,,,0.295,,0.22899999999999998,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.2986,0.0,0.0,0.0322,0.0297,0.0285,0.0087,0.0,0.0025,0.0,0.0297,0.0,0.0074,0.3581,0.0112,,0.7961,0.121,0.0111,0.0105,0.034,0.0003,0.0,0.0064,0.0205,,,,,,,,,,,,,0.5343,,,,,,,,,,,,,,,,4072.0,5460.0,7256.0,0.4095,0.353,,,,,,,,,,,,,0.5845,,0.04,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.9503,23.0,970.0,970.0,0.1486,0.0,0.0,0.0387,0.08199999999999999,0.0108,0.0,0.0,0.017,0.0,0.017,0.0,0.0402,0.3251,0.0062,,0.5683,0.3333,0.0141,0.0164,0.0048,0.0,0.0,0.0301,0.033,,,,,,,,,,,,,0.3287,,236.0,70.0,29.0,21.0,13.0,,,,,,14367.0,6620.0,18980.0,,5595.0,5715.0,6744.0,1.0,0.3542,0.2455,,0.57035364936042,,,,,,,,,0.2353,0.515,,0.084,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.7867,30.0,1221.0,1221.0,0.0945,0.1359,0.0,0.0,0.0678,0.0069,0.0025,0.0,0.0072,0.0223,0.0532,0.0,0.0448,0.2517,0.0151,,0.8532,0.0783,0.0252,0.0187,0.0071,0.0,0.0,0.0067,0.0108,,,,,,,,,,,,,0.0739,,172.0,108.0,135.0,175.0,233.0,,,,,,19490.0,7900.0,21916.0,,10620.0,10502.0,8554.0,0.8814,0.1538,0.6644,,0.7880602782071,,,,,,,,0.4667,0.675,0.3636,,0.048,
