name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,,,,,0.2569,0.0183,0.0,0.0,0.0661,0.0202,0.0,0.0,0.0183,0.044000000000000004,0.0422,0.0,0.0037,0.1798,0.0018,4380.0,,,,,,,,,,,,,,,0.0388,0.0014,0.0459,0.9055,0.003,0.0027,0.0027,,0.0781,,,,,,,,,,,,4664.0,5200.0,,3486.0,2889.0,,,,0.3239,,,,,,,,,,0.5714,,,,0.11900000000000001,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,,,,,0.1223,0.0525,0.0,0.0,0.0743,0.0038,0.0083,0.0,0.0134,0.0173,0.0551,0.0,0.0262,0.1914,0.0384,10331.0,,,,,,,,,,,,,,,0.0331,0.0266,0.6124,0.2861,0.0286,0.0031,0.0101,,0.3162,,,,,,,,,,,,3363.0,6183.0,,6348.0,15778.0,,,,0.3361,,,,,,,,,,0.5,0.2143,,,0.054000000000000006,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,,,,,,,,,,,,,,,0.0,0.0,0.6837,0.2347,0.0204,0.0,0.0612,,0.6735,,,,,,,,,,,,,,,5397.0,4474.0,,,,,,,,,,,,,,,,,,0.016,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,,,,,0.0267,0.2719,0.0,0.0,0.0475,0.0134,0.0045,0.0,0.0208,0.0,0.0238,0.0,0.0223,0.2392,0.0208,5220.0,,,,,,,,,,,,,,,0.040999999999999995,0.0487,0.6912,0.1435,0.0366,0.0205,0.0186,,0.3906,,,,,,,,,,,,3112.0,6516.0,,4200.0,5848.0,,,,0.3931,,,,,,,,,,0.2857,,,,0.048,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,,,,,0.3738,0.0,0.0,0.0,0.0411,0.0157,0.0,0.0,0.0059,0.0528,0.0176,0.0,0.0196,0.1526,0.0039,4348.0,,,,,,,,,,,,,,,0.003,0.0313,0.0435,0.9172,0.0018,0.0005,0.0028,,0.1704,,,,,,,,,,,,2520.0,5040.0,,68868.0,70857.0,,,,0.2431,,,,,,,,,,0.6667,,,,0.188,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,,,,,0.0849,0.0705,0.0,0.0,0.0331,0.0031,0.0027,0.0,0.0105,0.0179,0.0358,0.0,0.0374,0.2842,0.0156,15318.0,,,,,,,,,,,,,,,0.0244,0.0,0.8053,0.145,0.0105,0.0061,0.0086,,0.1014,,,,,,,,,,,,3014.0,8162.0,,4540.0,6644.0,,,,0.606,,,,,,,,,,0.375,0.0,,,0.046,
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0725,0.0,1577.0,,,,,,,,,,,,,,,0.0044,0.0013,0.773,0.20800000000000002,0.0038,0.0051,0.0044,,0.3976,,,,,,,,,,,,1800.0,3360.0,,1664.0,4119.0,,,,,0.2816,,,,,,,,,,,,,0.0,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.3692,0.0,0.0,0.0363,0.0198,0.0066,0.0022,0.0,0.0066,0.0,0.0077,0.0,0.0066,0.3473,0.0055,2662.0,,,,,,,,,,,,,,,0.0,0.0162,0.8392,0.1187,0.0056,0.0165,0.0038,,0.5958,,,,,,,,,,,,,,,2539.0,3421.0,,,,,,,,,,,,,,,,,,0.025,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,,,,,0.1763,0.0,0.0,0.0458,0.0821,0.0148,0.0,0.0,0.0108,0.0,0.0283,0.0,0.0431,0.319,0.0067,4098.0,,,,,,,,,,,,,,,0.0088,0.0068,0.6318,0.3189,0.0178,0.0046,0.0112,,0.3597,,,,,,,,,,,,3000.0,9000.0,,2155.0,2559.0,,,,,,,,,,,,,,,,,,0.076,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,,,,,0.115,0.1535,0.0,0.0,0.039,0.0045,0.005,0.0,0.0077,0.012,0.0509,0.0,0.0328,0.2425,0.0103,18326.0,,,,,,,,,,,,,,,0.0086,0.0014,0.8959999999999999,0.0694,0.0116,0.0047,0.0083,,0.1137,,,,,,,,,,,,3050.0,9150.0,,3813.0,3597.0,,,,0.6659999999999999,,,,,,,,,,0.7778,,,,0.022000000000000002,
