name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.4457,19.0,850.0,850.0,0.2314,0.0393,0.0,0.0,0.1054,0.0331,0.0,0.0,0.0124,0.0455,0.0289,0.0,0.0062,0.1901,0.0021,,,,,,,,,0.0329,0.0,0.0316,0.9286,0.0015,0.0017,0.0038,,,,,,,,0.0669,,,,,,,,,,,,,3352.0,6184.0,,3556.0,3470.0,4991.0,0.7786,,0.3802,,,,,,,,,,0.5714,,,0.1408,0.124,
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.8049,24.0,1010.0,1010.0,0.0894,0.048,0.0,0.0026,0.0611,0.0072,0.0145,0.0,0.0118,0.0191,0.0519,0.0,0.0414,0.1913,0.0434,,,,,,,,,0.0353,0.0218,0.5729,0.3241,0.0301,0.0051,0.0109,,,,,,,,0.2696,,,,,,,,,,,,,4274.0,9494.0,,3988.0,14509.0,6734.0,0.899,,0.3857,,,,,,,,,,0.4865,0.4286,,0.2879,0.037000000000000005,
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.688,0.0,0.0,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0744,0.6637,0.2411,0.0,0.0,0.0208,,,,,,,,0.0208,,,,,,,,,,,,,9440.0,9440.0,,6970.0,3485.0,3043.0,0.8158,,,,,,,,,,,,,,,0.872,0.027999999999999997,
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.8756,27.0,1130.0,1130.0,0.0384,0.2268,0.0,0.0,0.0421,0.0112,0.0037,0.0,0.0124,0.0,0.0173,0.0,0.0372,0.2739,0.0062,,,,,,,,,0.0298,0.0028,0.7477,0.1424,0.0377,0.0173,0.0224,,,,,,,,0.2424,,,,,,,,,,,,,4126.0,8702.0,,4069.0,5926.0,6257.0,0.5884,,0.4369,,,,,,,,,,0.4,,,0.28300000000000003,0.047,
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.5042,,,,0.3656,0.0,0.0,0.0,0.0279,0.0098,0.0,0.0,0.0049,0.0557,0.023,0.0,0.0328,0.1311,0.0033,,,,,,,,,0.003,0.0067,0.0271,0.9603,0.0004,0.0002,0.0022,,,,,,,,0.1407,,,,,,,,,,,,,3600.0,7200.0,,2683.0,3774.0,5017.0,0.569,,0.2117,,,,,,,,,,0.5,0.0,,0.1349,0.179,
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.867,26.0,1090.0,1090.0,0.0737,0.0612,0.0,0.0,0.0297,0.0045,0.0083,0.0,0.008,0.0093,0.0332,0.0,0.0443,0.3043,0.0176,,,,,,,,,0.0114,0.0,0.8238,0.1382,0.0095,0.006,0.0111,,,,,,,,0.0902,,,,,,,,,,,,,4134.0,11294.0,,4039.0,6358.0,6551.0,0.8269,,0.6248,,,,,,,,,,0.7,,,0.113,0.037000000000000005,
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484,0.0,,,,,,,,,0.0,0.003,0.738,0.2475,0.005,0.0035,0.003,,,,,,,,0.4885,,,,,,,,,,,,,2296.0,4560.0,,635.0,3918.0,4196.0,0.1986,,,0.2678,,,,,,,,,,,,0.3956,0.294,
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.4053,0.0,0.0,0.0539,0.0138,0.0124,0.0055,0.0,0.0041,0.0,0.0055,0.0,0.0069,0.2766,0.0138,,,,,,,,,0.0,0.0752,0.7794,0.1062,0.0054,0.0281,0.0058,,,,,,,,0.5795,,,,,,,,,,,,,,,,1526.0,4104.0,6157.0,0.2686,,,,,,,,,,,,,,,0.6493,0.031,
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.9917,22.0,930.0,930.0,0.2273,0.0,0.0,0.0329,0.0527,0.0066,0.0,0.0,0.0148,0.0,0.0231,0.0,0.0214,0.3806,0.0016,,,,,,,,,0.009000000000000001,0.0172,0.6142,0.3254,0.0156,0.0048,0.0138,,,,,,,,0.3497,,,,,,,,,,,,,4130.0,11930.0,,3912.0,4472.0,5708.0,0.5793,,0.2827,,,,,,,,,,,0.0,,0.2872,0.111,
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.7759999999999999,27.0,1125.0,1125.0,0.0889,0.1432,0.0,0.0,0.0442,0.0046,0.0033,0.0,0.0038,0.0103,0.0507,0.0,0.0418,0.2842,0.0119,,,,,,,,,0.0078,0.0096,0.8802,0.0714,0.0146,0.0047,0.0117,,,,,,,,0.0822,,,,,,,,,,,,,4426.0,12886.0,,5879.0,6553.0,7151.0,0.873,,0.6758,,,,,,,,,,0.7692,,,0.046,0.03,
