name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,12.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6538,19.0,850.0,850.0,0.1268,0.1432,0.0,0.0423,0.1009,0.0094,0.0,0.0,0.0188,0.0516,0.0399,0.0,0.0258,0.1479,0.0,,0.034,0.9216,0.0058,0.0018,0.0022,0.0018,0.0,0.0062,0.0266,,,,,,,,,,,,,0.0626,,485.0,129.0,76.0,38.0,15.0,,,,,,20809.0,9366.0,17136.0,,9657.0,7941.0,7017.0,0.7096,0.7249,0.3081,,0.8773,0.375,0.3091,0.0,0.0,0.3333,,,,0.0,0.8159,0.0877,,0.165
University of Alabama at Birmingham,Birmingham,AL,3,1,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6043,28.0,1147.0,1147.0,0.0815,0.0577,0.0,0.0179,0.0715,0.0124,0.0073,0.0,0.0174,0.0238,0.0408,0.0,0.0376,0.1837,0.0188,,0.5863,0.2541,0.0317,0.0595,0.0023,0.0006,0.0389,0.0181,0.0085,,,,,,,,,,,,,0.2671,,359.0,146.0,134.0,161.0,155.0,,,,,,22232.0,7766.0,17654.0,,10263.0,17548.0,10221.0,0.9081,0.3505,0.5462,,0.5349,0.5536,0.4721,0.5946,0.7722,0.5,1.0,0.7222,0.6875,0.4146,0.5218,0.2363,,0.053
Amridge University,Montgomery,AL,3,2,12.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0566,0.0,0.0,0.0,0.1698,0.0,0.0,0.0,0.0,0.0,0.3962,0.0,,0.21100000000000002,0.3409,0.0195,0.0,0.0,0.0032,0.0,0.0,0.4253,,,,,,,,,,,,,0.5714,,,,,,,8.0,1.0,0.0,0.0,0.0,12133.0,6900.0,6900.0,,17071.0,7113.0,3217.0,1.0,0.7455,0.4,,0.2078,0.6667,0.0,0.0,,,,,,,0.8781,0.8571,,0.1
University of Alabama in Huntsville,Huntsville,AL,3,1,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,30.0,1221.0,1221.0,0.0216,0.3027,0.0,0.0,0.0712,0.0198,0.0072,0.0,0.0216,0.0,0.0189,0.0,0.0288,0.2072,0.0117,,0.7024,0.12300000000000001,0.0417,0.0381,0.013000000000000001,0.0,0.0201,0.0317,0.03,,,,,,,,,,,,,0.1911,,82.0,44.0,63.0,66.0,76.0,,,,,,20999.0,9128.0,20622.0,,8917.0,10619.0,9514.0,0.6173,0.3179,0.4935,,0.5852,0.5214,0.3558,0.28,0.5333,0.3636,1.0,0.4375,0.6471,0.75,0.4589,0.2255,,0.052000000000000005
Alabama State University,Montgomery,AL,3,1,12.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4639,19.0,844.0,844.0,0.1531,0.0,0.0,0.0,0.0794,0.0302,0.0,0.0,0.0265,0.0548,0.0151,0.0,0.0473,0.0983,0.0113,,0.0165,0.9251,0.0116,0.0032,0.0008,0.0006,0.0114,0.0209,0.0099,,,,,,,,,,,,,0.0766,,438.0,60.0,41.0,21.0,10.0,,,,,,18100.0,8720.0,15656.0,,7717.0,7742.0,7940.0,0.6395,0.7567,0.2696,,0.866,0.0,0.2719,,1.0,1.0,0.0,,0.0,0.2667,0.7692,0.0974,,0.16699999999999998
The University of Alabama,Tuscaloosa,AL,3,1,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5359,31.0,1181.0,1181.0,0.0696,0.0788,0.0,0.0,0.0378,0.0083,0.0041,0.0,0.0095,0.0102,0.0364,0.0,0.0295,0.2886,0.0155,,0.7807,0.1092,0.0399,0.0113,0.0035,0.0009,0.0271,0.0245,0.0029,,,,,,,,,,,,,0.0825,,377.0,191.0,198.0,209.0,307.0,,,,,,27205.0,10170.0,25950.0,,13373.0,10312.0,9710.0,0.7187,0.2009,0.6709,,0.8175,0.6894,0.5455,0.5926,0.6806,0.5294,,,0.78,,0.4059,0.081,,0.051
Central Alabama Community College,Alexander City,AL,2,1,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.3742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1541,0.0,,0.7141,0.26,0.0123,0.0045,0.0019,0.0,0.0032,0.0019,0.0019,,,,,,,,,,,,,0.3745,,185.0,59.0,38.0,24.0,6.0,,,,,,11475.0,4320.0,7770.0,,2548.0,7288.0,5671.0,0.4602,0.5554,,0.2122,0.7656,,,,,,,,,,0.3574,0.263,,0.221
Athens State University,Athens,AL,3,1,31.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.2303,0.0,0.0,0.0551,0.015,0.0225,0.01,0.0,0.005,0.0,0.0288,0.0,0.0263,0.4205,0.0075,,0.7817,0.1185,0.0189,0.0062,0.0152,0.0007,0.0189,0.0055,0.0344,,,,,,,,,,,,,0.5778,,,,,,,,,,,,,,,,6189.0,6741.0,7921.0,0.445,0.4233,,,,,,,,,,,,,0.6512,0.6774,,0.053
Auburn University at Montgomery,Montgomery,AL,3,1,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7871,23.0,990.0,990.0,0.079,0.0,0.0,0.037000000000000005,0.0571,0.0067,0.0,0.0,0.0235,0.0,0.0336,0.0,0.0286,0.2471,0.0134,,0.5355,0.35100000000000003,0.006999999999999999,0.0241,0.0051,0.0017,0.0316,0.0316,0.0123,,,,,,,,,,,,,0.2569,,211.0,74.0,36.0,48.0,40.0,,,,,,18665.0,9350.0,20210.0,,8039.0,6815.0,7588.0,0.9539,0.4373,0.2038,,0.5659,0.2278,0.166,0.3,0.3,0.3333,,,0.0,0.1053,0.5584,0.2257,,0.083
Auburn University,Auburn,AL,3,1,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7766,30.0,1218.0,1218.0,0.0939,0.1741,0.0,0.0,0.0873,0.0091,0.0015,0.0,0.0135,0.0214,0.0407,0.0,0.0367,0.1989,0.0122,,0.8420000000000001,0.0671,0.0323,0.025,0.0063,0.0001,0.0057,0.0131,0.0085,,,,,,,,,,,,,0.0894,,228.0,157.0,181.0,211.0,313.0,,,,,,29164.0,10424.0,28040.0,,14724.0,11406.0,9738.0,0.8734,0.1631,0.7292,,0.7894,0.7464,0.5597,0.6842,0.6905,0.6552,,,0.6471,0.7091,0.34700000000000003,0.0427,,0.042
Birmingham Southern College,Birmingham,AL,3,2,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5306,29.0,1167.0,1167.0,0.0495,0.009000000000000001,0.0,0.0,0.1261,0.0405,0.0315,0.0,0.0721,0.0,0.0856,0.0,0.0991,0.2207,0.045,,0.7912,0.1137,0.0208,0.0535,0.0097,0.0,0.0089,0.0,0.0022,,,,,,,,,,,,,0.0067,,,,,,,38.0,15.0,36.0,30.0,61.0,46730.0,33128.0,33128.0,,10473.0,10494.0,7078.0,0.6164,0.1992,0.6108,,0.9504,0.6217,0.4615,0.4167,0.8421,0.8,,,,0.5,0.4633,0.0141,,0.028999999999999998
