name,city,state,degrees_awarded.predominant,ownership,locale,carnegie_size_setting,minority_serving.historically_black,minority_serving.predominantly_black,minority_serving.annh,minority_serving.tribal,minority_serving.aanipi,minority_serving.hispanic,minority_serving.nant,men_only,women_only,admission_rate.overall,act_scores.75th_percentile.cumulative,sat_scores.average.overall,sat_scores.average.by_ope_id,program_percentage.education,program_percentage.engineering,program_percentage.legal,program_percentage.humanities,program_percentage.biological,program_percentage.mathematics,program_percentage.philosophy_religious,program_percentage.theology_religious_vocation,program_percentage.physical_science,program_percentage.public_administration_social_service,program_percentage.social_science,program_percentage.construction,program_percentage.visual_performing,program_percentage.business_marketing,program_percentage.history,enrollment.all,demographics.race_ethnicity.white,demographics.race_ethnicity.black,demographics.race_ethnicity.hispanic,demographics.race_ethnicity.asian,demographics.race_ethnicity.aian,demographics.race_ethnicity.nhpi,demographics.race_ethnicity.two_or_more,demographics.race_ethnicity.non_resident_alien,demographics.race_ethnicity.unknown,demographics.race_ethnicity.white_non_hispanic,demographics.race_ethnicity.black_non_hispanic,demographics.race_ethnicity.asian_pacific_islander,demographics.race_ethnicity.aian_prior_2009,demographics.race_ethnicity.hispanic_prior_2009,demographics.non_resident_aliens_2000,demographics.race_ethnicity.unknown_2000,demographics.race_ethnicity.white_2000,demographics.race_ethnicity.black_2000,demographics.race_ethnicity.api_2000,demographics.race_ethnicity.aian_2000,demographics.race_ethnicity.hispanic_2000,part_time_share,part_time_share_2000,title_iv.public.by_income_level.0-30000,title_iv.public.by_income_level.30001-48000,title_iv.public.by_income_level.48001-75000,title_iv.public.by_income_level.75001-110000,title_iv.public.by_income_level.110001-plus,title_iv.private.by_income_level.0-30000,title_iv.private.by_income_level.30001-48000,title_iv.private.by_income_level.48001-75000,title_iv.private.by_income_level.75001-110000,title_iv.private.by_income_level.110001-plus,attendance.academic_year,tuition.in_state,tuition.out_of_state,tuition.program_year,tuition_revenue_per_fte,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,pell_grant_rate,completion_rate_4yr_150nt,completion_rate_less_than_4yr_150nt,share_first.time_full.time,completion_rate_4yr_150_white,completion_rate_4yr_150_black,completion_rate_4yr_150_hispanic,completion_rate_4yr_150_asian,completion_rate_4yr_150_aian,completion_rate_4yr_150_nhpi,completion_rate_4yr_150_2ormore,completion_rate_4yr_150_nonresident.alien,completion_rate_4yr_150_race.unknown,federal_loan_rate,share_25_older,2_yr_default_rate,3_yr_default_rate
Alabama A & M University,Normal,AL,3,1,,,,,,,,,,,,0.8989,19.0,823.0,823.0,0.149,0.1175,0.0,0.0546,0.1026,0.0199,0.0,0.0,0.0248,0.0364,0.048,0.0,0.0166,0.1457,0.0,,0.0279,0.9501,0.0089,0.0022,0.0012,0.001,0.0,0.0002,0.0084,,,,,,,,,,,,,0.0622,,398.0,101.0,65.0,28.0,15.0,,,,,,18888.0,7182.0,12774.0,,9063.0,7459.0,7079.0,0.8856,0.7115,0.2914,,0.8573680063041701,0.2222,0.2923,0.2,,0.0,,,0.4,,0.8204,0.1049,,0.163
University of Alabama at Birmingham,Birmingham,AL,3,1,,,,,,,,,,,,0.8673,28.0,1146.0,1146.0,0.0862,0.0632,0.0,0.0262,0.0619,0.0135,0.0095,0.0,0.0181,0.0244,0.0501,0.0,0.0415,0.1765,0.0212,,0.5987,0.259,0.0258,0.0518,0.0026,0.0007,0.0344,0.013999999999999999,0.013000000000000001,,,,,,,,,,,,,0.2579,,311.0,164.0,128.0,150.0,140.0,,,,,,19990.0,7206.0,16398.0,,9033.0,17208.0,10170.0,0.9106,0.3505,0.5377,,0.5463722397476299,0.5281,0.5186,0.6296,0.68,0.6667,,0.6333,0.6522,0.4167,0.5397,0.2422,,0.08
Amridge University,Montgomery,AL,3,2,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.6301,0.0,0.0,0.0,0.2603,0.0,0.0,0.0,0.0,0.0,0.0685,0.0,,0.2919,0.4224,0.0093,0.0031,0.0031,0.0031,0.0,0.0,0.2671,,,,,,,,,,,,,0.3727,,,,,,,7.0,2.0,0.0,0.0,0.0,12300.0,6870.0,6870.0,,12057.0,5123.0,3849.0,0.6721,0.6839,0.6667,,0.42857142857142,0.5,,1.0,,,,,,,0.7629,0.8540000000000001,,0.08900000000000001
University of Alabama in Huntsville,Huntsville,AL,3,1,,,,,,,,,,,,0.8062,29.0,1180.0,1180.0,0.0173,0.2566,0.0,0.0,0.0855,0.0218,0.0082,0.0,0.0209,0.0,0.0173,0.0,0.0346,0.2247,0.0118,,0.7012,0.131,0.0338,0.0364,0.0145,0.0002,0.0161,0.0329,0.0338,,,,,,,,,,,,,0.2395,,97.0,52.0,48.0,51.0,46.0,,,,,,20306.0,9192.0,21506.0,,8322.0,9352.0,9341.0,0.6555,0.3281,0.4835,,0.47050147492625,0.4656,0.4717,0.3529,0.65,0.6667,,0.6364,0.75,0.6667,0.4728,0.264,,0.077
Alabama State University,Montgomery,AL,3,1,,,,,,,,,,,,0.5125,19.0,830.0,830.0,0.2137,0.0,0.0,0.0,0.1035,0.0184,0.0,0.0,0.015,0.0651,0.015,0.0,0.0568,0.1068,0.0067,,0.0161,0.9285,0.0114,0.0015,0.0009,0.0007,0.0064,0.0207,0.0138,,,,,,,,,,,,,0.0902,,638.0,135.0,63.0,40.0,13.0,,,,,,17400.0,8720.0,15656.0,,7813.0,7393.0,6557.0,0.6641,0.8265,0.2517,,0.8597285067873299,0.0833,0.2523,0.25,,,,1.0,0.0,0.3077,0.8735,0.127,,0.191
The University of Alabama,Tuscaloosa,AL,3,1,,,,,,,,,,,,0.5655,30.0,1171.0,1171.0,0.084,0.064,0.0,0.0,0.0348,0.0076,0.006,0.0,0.0074,0.0124,0.0422,0.0,0.036000000000000004,0.287,0.0194,,0.7865,0.114,0.0313,0.0112,0.0044,0.0011,0.021,0.0278,0.0028,,,,,,,,,,,,,0.0852,,399.0,196.0,235.0,260.0,350.0,,,,,,26717.0,9450.0,23950.0,,12198.0,9817.0,9605.0,0.7036,0.2107,0.6665,,0.81079717457114,0.6743,0.5661,0.7237,0.7059,0.75,,,0.6522,,0.4148,0.0853,,0.081
Central Alabama Community College,Alexander City,AL,2,1,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.4833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1041,0.0,,0.6785,0.2945,0.0118,0.0022,0.0022,0.0011,0.0006,0.0011,0.0079,,,,,,,,,,,,,0.466,,330.0,21.0,12.0,4.0,0.0,,,,,,12103.0,4200.0,7500.0,,2371.0,5935.0,5805.0,0.3871,0.6515,,0.0909,0.7219662058371701,,,,,,,,,,0.4777,0.3153,,0.263
Athens State University,Athens,AL,3,1,,,,,,,,,,,,,,,,0.2404,0.0,0.0,0.054000000000000006,0.0243,0.0408,0.0077,0.0,0.0011,0.0,0.0221,0.0,0.0099,0.4112,0.0055,,0.7513,0.1064,0.0213,0.0047,0.019,0.0007,0.0133,0.006999999999999999,0.0764,,,,,,,,,,,,,0.5502,,,,,,,,,,,,,,,,5094.0,6176.0,7672.0,0.4412,0.4107,,,,,,,,,,,,,0.6277,0.6409999999999999,,0.094
Auburn University at Montgomery,Montgomery,AL,3,1,,,,,,,,,,,,0.8371,23.0,970.0,970.0,0.1406,0.0,0.0,0.0267,0.1032,0.0018,0.0,0.0,0.0231,0.0,0.0196,0.0,0.0107,0.2847,0.0089,,0.5532,0.3031,0.0079,0.0245,0.0037,0.0002,0.0049,0.0435,0.059000000000000004,,,,,,,,,,,,,0.3061,,172.0,54.0,73.0,53.0,43.0,,,,,,16556.0,8750.0,24950.0,,7625.0,6817.0,7173.0,0.9262,0.4006,0.2705,,0.56988352745424,0.3023,0.2057,0.6667,0.4286,0.0,,,1.0,0.2727,0.6476,0.293,,0.131
Auburn University,Auburn,AL,3,1,,,,,,,,,,,,0.8274,30.0,1215.0,1215.0,0.1066,0.1491,0.0,0.0,0.0769,0.0077,0.0028,0.0,0.0129,0.0171,0.0477,0.0,0.0393,0.1872,0.0182,,0.8543,0.0714,0.0253,0.0213,0.0077,0.0,0.0,0.0074,0.0127,,,,,,,,,,,,,0.0902,,207.0,96.0,147.0,154.0,251.0,,,,,,23788.0,9852.0,26364.0,,13186.0,11324.0,9429.0,0.878,0.1687,0.6792,,0.77354541649225,0.7109,0.5095,0.5667,0.5513,0.625,,,0.5625,0.6667,0.361,0.0415,,0.061
